,GAGE_ID,Porosity,GLHYMPS_Shape_Area
0,01095220,0.009999999776482582,635152263.8237647
20,01095375,0.09000000357627869,1387215.4703739274
21,01095375,0.009999999776482582,1122995719.051697
55,01104430,0.009999999776482582,340663476.9728497
62,01104460,0.009999999776482582,448382380.94276285
76,01104475,0.009999999776482582,46806962.08954847
78,01362500,0.1899999976158142,10021127427.374859
97,01362500,0.2199999988079071,348600.74198523734
113,01372058,0.05999999865889549,4444716368.91309
114,01372058,0.009999999776482582,15640693971.779007
118,01372058,0.11999999731779099,18172698011.50846
123,01372058,0.1899999976158142,18726453573.240314
129,01372058,0.09000000357627869,423472.1679073277
158,01372058,0.2199999988079071,1863210136.7540586
205,01372058,0.27000001072883606,2249269699.6043415
2471,01388000,0.09000000357627869,57187068.20366863
2472,01388000,0.27000001072883606,285163687.534199
2473,01388000,0.1899999976158142,153848611.6670334
2474,01388000,0.11999999731779099,72031730.52662788
2484,01388000,0.009999999776482582,544482950.4311042
2524,01388000,0.05999999865889549,26401176.97357586
2531,01388000,0.2199999988079071,862612.2624217169
2600,01417500,0.1899999976158142,9102342697.12898
2641,01417500,0.2199999988079071,43782.55724706236
2667,01420500,0.1899999976158142,5245731300.240621
2668,01420500,0.2199999988079071,3956133.388596697
2749,01421000,0.1899999976158142,10246882921.04866
2755,01421000,0.2199999988079071,13458397.271497868
2903,01425000,0.1899999976158142,8969361441.061598
2912,01425000,0.2199999988079071,230467.0751415405
2967,01426500,0.1899999976158142,19005417826.45037
2993,01426500,0.11999999731779099,37104985.27787267
2996,01426500,0.2199999988079071,230467.0751415405
3053,01427510,0.1899999976158142,20540202928.306255
3056,01427510,0.2199999988079071,16051291.810215993
3126,01427510,0.11999999731779099,37104985.27787267
3312,01428500,0.1899999976158142,22052422538.2926
3313,01428500,0.2199999988079071,18560815.952298034
3328,01428500,0.11999999731779099,37104985.27787267
3587,01429000,0.1899999976158142,11502524029.070599
3588,01429000,0.27000001072883606,116299507.86751412
3590,01436690,0.1899999976158142,8739396965.533096
3591,01436690,0.2199999988079071,12359432.48121513
3639,01447800,0.1899999976158142,1766131217.3342748
3644,01447800,0.27000001072883606,996032742.3947953
3655,01449360,0.11999999731779099,623627689.6011231
3656,01449360,0.1899999976158142,1584096175.2617779
3660,01449360,0.27000001072883606,280332570.65029526
3673,01463500,0.1899999976158142,27229742765.02207
3676,01463500,0.11999999731779099,5961355551.429195
3688,01463500,0.009999999776482582,1150620911.8765912
3692,01463500,0.05999999865889549,1567423455.1135197
3698,01463500,0.2800000011920929,326222767.44114953
3720,01463500,0.2199999988079071,63243825.80656507
3987,01463500,0.27000001072883606,1852829398.7114806
4346,01463500,0.09000000357627869,292326768.0223699
5971,01466500,0.2199999988079071,6094201973.410453
5972,01480400,0.009999999776482582,122240581.57772486
5977,01480500,0.009999999776482582,479759409.5565915
6000,01480500,0.05999999865889549,4071126.595780492
6040,01480617,0.05999999865889549,31896838.55991526
6041,01480617,0.009999999776482582,2034141906.6921425
6095,01480617,0.11999999731779099,1457981.102053569
6110,01480870,0.009999999776482582,2022565582.5030837
6117,01480870,0.05999999865889549,93778512.2387977
6157,01480870,0.09000000357627869,1581020.8530384286
6173,01480870,0.11999999731779099,1971045.4586787755
6185,01481000,0.009999999776482582,3003225806.780591
6211,01481000,0.05999999865889549,108097912.88850684
6226,01481000,0.11999999731779099,1971045.4586787755
6295,01481000,0.09000000357627869,1602376.830887371
6390,01595200,0.1899999976158142,288179632.005136
6391,01595200,0.11999999731779099,516377861.39565635
6397,01608500,0.27000001072883606,1248173371.331329
6398,01608500,0.1899999976158142,5701080406.078518
6399,01608500,0.11999999731779099,4374717934.301236
6405,01608500,0.2199999988079071,122729156.27051763
6411,01608500,0.05999999865889549,1596373820.6841235
6749,02011400,0.11999999731779099,1288499463.8507695
6751,02011400,0.27000001072883606,304388655.2708027
6756,02011400,0.1899999976158142,346540042.9750799
6760,02011400,0.05999999865889549,9326750.188832257
6767,02011400,0.09000000357627869,408527.61809555447
6771,02011500,0.11999999731779099,1504621491.2602057
6772,02011500,0.1899999976158142,1474324697.620452
6775,02011500,0.2199999988079071,1038995.105563456
6802,02011500,0.27000001072883606,302443796.48546255
6803,02011800,0.1899999976158142,1733303930.9066114
6805,02011800,0.11999999731779099,1815617555.4311993
6813,02011800,0.09000000357627869,408527.61809555447
6819,02011800,0.2199999988079071,1038995.105563456
6820,02011800,0.27000001072883606,304388655.2708027
6853,02011800,0.05999999865889549,9326750.188832257
6858,02012500,0.11999999731779099,1815957591.6249976
6862,02012500,0.1899999976158142,1733303930.9066114
6864,02012500,0.2199999988079071,1038995.105563456
6873,02012500,0.27000001072883606,311250392.647142
6898,02012500,0.05999999865889549,14188822.100772668
6912,02012500,0.09000000357627869,408527.61809555447
6917,02035000,0.009999999776482582,11835178489.508139
6918,02035000,0.2199999988079071,8428361.487796273
6922,02035000,0.11999999731779099,7726079891.510414
6924,02035000,0.05999999865889549,3558563756.443818
6931,02035000,0.1899999976158142,4246327228.798717
6934,02035000,0.09000000357627869,1183609335.430385
6959,02035000,0.27000001072883606,2102649335.4841907
7811,02077200,0.009999999776482582,2355614673.5070906
7819,02110704,0.2199999988079071,19690499565.617367
7821,02110704,0.1899999976158142,719300347.190761
7823,02110704,0.2800000011920929,2785300749.498759
7835,02148315,0.009999999776482582,29643180854.35963
7836,02148315,0.2199999988079071,2869863909.380732
7864,02148315,0.2800000011920929,1123590844.5791893
7933,02148315,0.1899999976158142,1407514207.212352
7937,02148315,0.05999999865889549,6644956.467488547
8164,02156500,0.009999999776482582,18676508701.487915
8215,02156500,0.09000000357627869,289150758.588337
8360,02160105,0.009999999776482582,7805393911.029256
