"STAID","N","N_qSC","DATE.B","DATE.E","Model","ALPHA","ECK.OHS.BETA","ECK.CaF.BETA","CS","CBmn","CBamp","sday","CBamp2","RMSE","NS","ACCEPT","Streamflow","BF_Fraction.ECK.CaF","BF_Fraction.ECK.OHS","Days.ECK.CaF","Days.ECK.OHS"
"'04161580'",18020,7,"10/1/1964","1/31/2014","'SCfit'",0.9714,0.6808,0.6334,427.6738,NA,NA,NA,NA,73.9238,0.8476,"Y",17.0109,0.5716,0.6109,0.0897,0.1075
"'04185000'",30696,47,"10/1/1921","10/16/2017","'sin_cos'",0.9745,0.6427,0.3582,530.5988,754.6716,115.0521,"10/15/1965",23.1809,539.1495,0.3811,"Y",345.6088,0.3066,0.4803,0.0935,0.2136
"'04196800'",19559,155,"6/1/1964","12/21/2017","'SCfit'",0.9628,0.959,0.1453,203,NA,NA,NA,NA,2371.9575,0.5672,"Y",205.6221,0.1223,0.8059,0.0873,0.518
"'04197100'",15238,4,"2/1/1976","10/23/2017","'SCfit'",0.962,0.384,0.1942,520,NA,NA,NA,NA,8.3475,0.9967,"Y",144.4822,0.1625,0.2615,0.1104,0.2174
"'04212500'",18205,78,"8/1/1924","1/3/1980","'SCfit'",0.9655,0.967,0.1469,113,NA,NA,NA,NA,572.0073,0.7233,"Y",153.7858,0.1257,0.7977,0.0859,0.509
"'04213000'",29644,81,"7/1/1922","11/27/2017","'SCfit'",0.953,0.4376,0.3433,219.9123,NA,NA,NA,NA,482.141,0.6072,"Y",279.7327,0.2876,0.3418,0.1163,0.1644
"'04216500'",25872,3,"8/1/1912","9/30/1992","'sin_cos'",0.9576,0.636,0.4309,134.3759,322.706,10.1699,"5/9/1963",147.823,0.0023,1,"Y",27.3666,0.3787,0.5066,0.0869,0.1746
"'04224775'",15533,57,"7/30/1974","2/6/2017","'SCfit'",0.9676,0.5855,0.5303,204.5212,NA,NA,NA,NA,399.0286,0.5985,"Y",100.1151,0.4719,0.5097,0.1015,0.1253
"'04233286'",5080,9,"11/14/2002","10/10/2016","'sin_cos'",0.9641,0.4836,0.5328,226.8571,366,10,"2/11/2003",10,87.8167,0.5651,"Y",46.0312,0.4743,0.4387,0.0856,0.0638
"'04237962'",5844,44,"10/1/2001","9/30/2017","'SCfit'",0.9626,0.8849,0.7019,171.8842,NA,NA,NA,NA,2244.9943,0.7402,"Y",62.8272,0.6614,0.8076,0.1251,0.3381
"'04245200'",15067,27,"7/1/1958","9/30/1999","'SCfit'",0.9662,0.979,0.66,270,NA,NA,NA,NA,231.9044,0.5814,"Y",49.3447,0.612,0.9276,0.1122,0.4943
"'04256000'",27486,8,"7/1/1942","9/30/2017","'SCfit'",0.9702,0.9683,0.563,25,NA,NA,NA,NA,33.3183,0.5478,"Y",201.1034,0.5052,0.8933,0.1039,0.4623
"'04265000'",19414,11,"8/5/1924","9/29/1977","'SCfit'",0.9659,0.4311,0.6721,43.3556,NA,NA,NA,NA,34.6769,0.4032,"Y",606.1246,0.618,0.4211,0.1204,0.0259
"'04265432'",4750,12,"9/30/2003","9/30/2016","'SCfit'",0.9689,0.4823,0.5794,101.6495,NA,NA,NA,NA,195.7059,0.3239,"Y",1110.5874,0.5165,0.4483,0.1202,0.0747
"'04268800'",13272,11,"10/1/1958","9/30/2017","'SCfit'",0.9707,0.9144,0.6353,33.4742,NA,NA,NA,NA,11.8542,0.6342,"Y",345.9881,0.5785,0.829,0.1138,0.3428
"'04278300'",10591,5,"10/1/1965","9/29/1997","'sin_cos'",0.9899,0.8303,0.179,59.1155,55,10.4251,"7/15/1966",65.2031,2.8252,0.9975,"Y",35.8165,0.1455,0.5625,0.0471,0.3077
"'04282525'",9747,43,"3/1/1990","11/5/2016","'sin_cos'",0.9822,0.2644,0.4826,98.4792,208,10,"10/25/1991",10,103.5283,0.7794,"Y",217.9782,0.4309,0.2617,0.0814,0.0153
"'04282650'",10121,49,"3/1/1990","11/15/2017","'sin_cos'",0.9846,0.1765,0.2355,311.6631,464.6002,61.815,"10/23/1991",44.8701,426.1656,0.3312,"Y",66.0677,0.1934,0.1532,0.0611,0.043
"'04282780'",10122,48,"3/1/1990","11/15/2017","'SCfit'",0.9735,0.9472,0.535,122.1598,NA,NA,NA,NA,256.0799,0.4279,"Y",108.002,0.4795,0.8341,0.0975,0.4643
"'04296000'",24110,242,"10/1/1951","10/3/2017","'SCfit'",0.9708,0.8863,0.5331,80.0346,NA,NA,NA,NA,512.914,0.564,"Y",210.7727,0.4753,0.763,0.0961,0.3369
"'05056000'",24839,2196,"10/1/1949","10/2/2017","'SCfit'",0.9755,0.9779,0.3778,220.2019,NA,NA,NA,NA,7408.3301,0.8134,"Y",98.8206,0.3305,0.9403,0.062,0.3373
"'05056100'",17329,300,"6/1/1956","9/29/2017","'sin_cos'",0.9714,0.2864,0.0607,762.4683,1538.5981,417.9449,"10/8/1971",30.7089,6829.6803,0.3553,"Y",42.0621,0.055,0.2283,0.0351,0.1029
"'05056200'",16968,253,"4/1/1956","9/29/2017","'SCfit'",0.9744,0.8668,0.0647,418.845,NA,NA,NA,NA,3760.5447,0.6939,"Y",33.4151,0.0527,0.7091,0.0492,0.2403
"'05057000'",26699,7192,"10/1/1944","11/7/2017","'SCfit'",0.976,0.9778,0.4906,311.2602,NA,NA,NA,NA,9771.1612,0.9301,"Y",181.325,0.4389,0.9524,0.0911,0.3495
"'05057200'",22501,2565,"4/1/1956","11/7/2017","'SCfit'",0.9807,0.9595,0.2169,406.1722,NA,NA,NA,NA,5920.817,0.7164,"Y",34.2757,0.1904,0.861,0.0474,0.3625
"'05059600'",14064,188,"10/1/1964","9/30/2017","'sin_cos'",0.977,0.9493,0.0128,691.9263,920.535,1088.7214,"4/1/1972",10,7769.62,0.4327,"Y",5.5156,0.0088,0.7135,0.0123,0.2373
"'05060000'",9874,87,"10/1/1958","9/30/2017","'SCfit'",0.982,0.7095,0.1052,710.343,NA,NA,NA,NA,3287.8425,0.5343,"Y",180.5038,0.0919,0.5189,0.0454,0.2439
"'05062500'",32723,1059,"7/1/1909","10/30/2017","'SCfit'",0.9908,0.994,0.2988,188.7553,NA,NA,NA,NA,1540.0019,0.8866,"Y",218.756,0.2447,0.9691,0.0468,0.4311
"'05064900'",14243,338,"10/1/1964","9/29/2003","'SCfit'",0.9779,0.7853,0.0399,700.1459,NA,NA,NA,NA,6602.1053,0.4442,"Y",11.2918,0.0341,0.5418,0.0221,0.2161
"'05065500'",1712,19,"3/1/2010","9/30/2017","'SCfit'",0.9793,0.9881,0.1125,638.5957,NA,NA,NA,NA,1172.9116,0.5138,"Y",168.1547,0.1039,0.9483,0.0532,0.5537
"'05089500'",11049,151,"7/1/1954","9/29/1984","'SCfit'",0.9686,0.92,0.1163,473.7667,NA,NA,NA,NA,1964.0119,0.6113,"Y",2.7639,0.1017,0.6945,0.0209,0.2198
"'05098700'",12417,111,"10/1/1961","9/29/1995","'SCfit'",0.975,0.593,0.0072,584.4531,NA,NA,NA,NA,2777.9814,0.5396,"Y",3.5065,0.0054,0.3192,0.0056,0.0944
"'05120500'",29528,406,"3/1/1937","1/2/2018","'SCfit'",0.981,0.97,0.2571,312.3392,NA,NA,NA,NA,6371.8949,0.5396,"Y",18.4824,0.2281,0.9148,0.0469,0.3278
"'05123400'",22404,356,"9/1/1956","1/2/2018","'SCfit'",0.9694,0.9251,0.1463,493.5834,NA,NA,NA,NA,8533.2383,0.3522,"Y",60.9677,0.1364,0.8828,0.0439,0.2134
"'05123600'",9130,69,"10/1/1956","9/29/1981","'sin_cos'",0.9814,0.739,0.0101,676.7975,1716.3599,145.3369,"10/8/1971",617.5679,3474.0976,0.5288,"Y",6.4094,0.0077,0.4445,0.0066,0.1151
"'05129115'",13964,8,"8/1/1979","10/23/2017","'SCfit'",0.9907,0.9168,0.5337,74,NA,NA,NA,NA,10.7337,0.8902,"Y",616.6622,0.4798,0.8553,0.0844,0.2934
"'05130500'",24804,53,"8/1/1942","6/28/2010","'SCfit'",0.9874,0.4676,0.4009,73.3878,NA,NA,NA,NA,78.5009,0.8237,"Y",122.1798,0.3482,0.3975,0.0646,0.0835
"'05131500'",35398,928,"7/1/1909","2/27/2018","'SCfit'",0.9844,0.9491,0.3288,108.2601,NA,NA,NA,NA,523.1649,0.8864,"Y",1046.6164,0.2817,0.8461,0.0707,0.3614
"'05132000'",30499,43,"9/1/1909","2/27/2018","'SCfit'",0.9798,0.6847,0.5596,145.5915,NA,NA,NA,NA,317.4782,0.6992,"Y",732.0229,0.51,0.6161,0.0773,0.1163
"'05291000'",32343,32,"4/1/1910","11/15/2017","'SCfit'",0.9793,0.9855,0.2982,218,NA,NA,NA,NA,1100.7523,0.4624,"Y",64.6379,0.2512,0.9077,0.0653,0.4059
"'05357335'",9296,89,"5/1/1991","10/11/2016","'SCfit'",0.9916,0.9118,0.6074,66.0984,NA,NA,NA,NA,93.1801,0.4861,"Y",64.2464,0.5609,0.8425,0.0706,0.2129
"'05362000'",37372,163,"7/22/1915","11/14/2017","'sin_cos'",0.9893,0.3107,0.1952,85.4152,200.8237,40.0258,"11/9/1966",15.6956,487.1749,0.5468,"Y",525.4037,0.1539,0.2164,0.0402,0.0683
"'05376000'",10331,230,"10/1/1939","10/12/1993","'SCfit'",0.9939,0.9955,0.6609,55,NA,NA,NA,NA,956.6274,0.4454,"Y",48.9241,0.5807,0.9299,0.0352,0.3754
"'05384000'",20364,4,"2/1/1910","9/30/1990","'SCfit'",0.9894,0.8815,0.5303,330,NA,NA,NA,NA,26.8022,0.9575,"Y",351.1803,0.4618,0.6785,0.0541,0.2292
"'05389400'",9528,69,"10/1/1991","11/7/2017","'SCfit'",0.9875,0.9045,0.786,444.2687,NA,NA,NA,NA,327.0231,0.4547,"Y",24.9041,0.7289,0.8212,0.053,0.1375
"'05393500'",27202,144,"4/10/1942","9/29/2016","'SCfit'",0.9876,0.5265,0.2036,64.1263,NA,NA,NA,NA,251.578,0.6872,"Y",88.7686,0.161,0.3348,0.0474,0.1351
"'05399500'",33619,149,"7/24/1914","12/6/2017","'SCfit'",0.9849,0.1869,0.0845,193.4009,NA,NA,NA,NA,748.6616,0.5305,"Y",174.8083,0.0652,0.1136,0.0468,0.0964
"'05408000'",28555,159,"10/1/1938","12/4/2016","'SCfit'",0.9905,0.8836,0.7075,232.2711,NA,NA,NA,NA,655.9926,0.5877,"Y",184.8595,0.6434,0.7563,0.0559,0.1783
"'05412400'",6610,16,"9/16/1999","10/23/2017","'SCfit'",0.9869,0.9819,0.4926,316,NA,NA,NA,NA,188.0945,0.555,"Y",315.0111,0.4276,0.8857,0.0672,0.5003
"'05412500'",35841,286,"8/8/1913","10/23/2017","'SCfit'",0.9855,0.9923,0.5322,1.0336,NA,NA,NA,NA,1293.5517,0.384,"Y",1073.703,0.4691,0.9481,0.0761,0.5169
"'05413500'",30145,208,"10/1/1934","4/12/2017","'SCfit'",0.988,0.9848,0.7113,195,NA,NA,NA,NA,1159.447,0.3755,"Y",180.1854,0.6371,0.8952,0.0585,0.4038
"'05414000'",29964,141,"10/1/1934","10/13/2016","'SCfit'",0.9884,0.9808,0.696,273.816,NA,NA,NA,NA,809.0568,0.3716,"Y",103.741,0.6271,0.8831,0.0519,0.4026
"'05415000'",19375,109,"9/14/1939","9/29/1992","'SCfit'",0.982,0.951,0.6481,461.2817,NA,NA,NA,NA,1193.4251,0.3147,"Y",78.3827,0.5719,0.8084,0.0643,0.3319
"'05451210'",8139,1451,"10/25/1995","2/5/2018","'SCfit'",0.9853,0.9933,0.2054,235,NA,NA,NA,NA,2214.3702,0.6576,"Y",182.3138,0.1674,0.9506,0.0698,0.5878
"'05473450'",7367,29,"9/25/1997","11/28/2017","'SCfit'",0.9717,0.9864,0.1753,121,NA,NA,NA,NA,513.9178,0.7177,"Y",47.5628,0.1496,0.8828,0.0741,0.5723
"'05488200'",11837,123,"7/1/1985","11/27/2017","'SCfit'",0.9705,0.9633,0.138,181.1157,NA,NA,NA,NA,2192.505,0.495,"Y",68.725,0.113,0.7229,0.0761,0.5177
"'05489000'",25621,194,"10/1/1947","11/27/2017","'SCfit'",0.9509,0.8622,0.2333,305.735,NA,NA,NA,NA,2001.6017,0.4247,"Y",248.3341,0.1879,0.5713,0.0987,0.3964
"'05495000'",34979,147,"3/1/1922","12/5/2017","'SCfit'",0.9577,0.9401,0.1608,181.1641,NA,NA,NA,NA,1147.1117,0.4736,"Y",278.9444,0.1292,0.7231,0.0959,0.4852
"'05495500'",26901,177,"3/1/1944","10/25/2017","'SCfit'",0.9553,0.9587,0.1229,141,NA,NA,NA,NA,1338.7354,0.4081,"Y",242.4552,0.0973,0.7561,0.1026,0.517
"'05498000'",21914,6,"10/1/1945","9/29/2005","'SCfit'",0.9605,0.8602,0.1605,180,NA,NA,NA,NA,60.4982,0.9561,"Y",275.8169,0.1268,0.55,0.0893,0.4004
"'05500000'",30352,394,"1/1/1935","2/5/2018","'SCfit'",0.9504,0.9556,0.1812,81,NA,NA,NA,NA,1695.7295,0.4312,"Y",438.152,0.1462,0.8195,0.1032,0.4987
"'05501000'",30352,20,"1/1/1935","2/5/2018","'SCfit'",0.9434,0.9532,0.1922,142,NA,NA,NA,NA,268.6149,0.726,"Y",273.0549,0.1571,0.7774,0.0972,0.4882
"'05525500'",25291,353,"7/21/1948","10/19/2017","'SCfit'",0.9818,0.9894,0.2127,195.0763,NA,NA,NA,NA,2039.1592,0.4953,"Y",399.9157,0.1809,0.9148,0.0748,0.5925
"'05584500'",26685,342,"10/1/1944","10/24/2017","'SCfit'",0.9712,0.9819,0.2685,30,NA,NA,NA,NA,2666.1208,0.3543,"Y",478.3707,0.2271,0.8917,0.1099,0.5604
"'05585000'",35292,265,"3/12/1921","10/25/2017","'SCfit'",0.9683,0.7182,0.3042,189.5324,NA,NA,NA,NA,26802.323,0.5678,"Y",870.5064,0.2536,0.4981,0.1057,0.2968
"'05595730'",13965,155,"9/11/1979","12/5/2017","'SCfit'",0.9434,0.9511,0.0692,109,NA,NA,NA,NA,3560.1909,0.4254,"Y",94.0442,0.055,0.7225,0.1137,0.5263
"'06036805'",4048,32,"10/1/2006","10/30/2017","'SCfit'",0.9842,0.6103,0.8806,39,NA,NA,NA,NA,96.3056,0.7082,"Y",62.36,0.8553,0.6024,0.0514,0.0126
"'06036905'",10075,1550,"10/1/1983","10/30/2017","'SCfit'",0.984,0.9567,0.9575,124,NA,NA,NA,NA,1126.6817,0.9071,"Y",304.8733,0.9481,0.9473,0.0843,0.0831
"'06037500'",33372,2393,"7/1/1913","12/12/2017","'SCfit'",0.9855,0.9582,0.9423,104.796,NA,NA,NA,NA,1379.025,0.8978,"Y",494.0349,0.9304,0.9469,0.0744,0.0974
"'06043500'",32073,206,"1889-08-01","1/23/2018","'SCfit'",0.9881,0.557,0.6694,113.8927,NA,NA,NA,NA,343.3018,0.8935,"Y",806.899,0.6078,0.5183,0.0719,0.0498
"'06078500'",11589,39,"5/1/1911","10/17/2017","'sin_cos'",0.9773,0.2474,0.62,202.51,303.2028,10,"5/1/1989",13.3615,144.911,0.6781,"Y",385.4521,0.5729,0.2485,0.0803,0.0022
"'06079000'",2183,7,"5/1/1911","10/17/2017","'sin_cos'",0.9731,0.9181,0.6585,219.3984,170,121.1594,"6/16/2008",10,30.3102,0.9347,"Y",445.5859,0.6226,0.8781,0.0898,0.1887
"'06102500'",7200,121,"6/1/1947","10/21/2017","'sin_cos'",0.9776,0.4426,0.8143,271.0424,381.9826,12.9861,"6/9/1998",10,390.8465,0.4946,"Y",156.7536,0.7821,0.4433,0.0753,0.0047
"'06137400'",8919,229,"5/1/1982","9/30/2006","'SCfit'",0.9911,0.9883,0.5174,215.5057,NA,NA,NA,NA,484.4858,0.4746,"Y",7.7492,0.4655,0.9447,0.0426,0.3976
"'06137570'",8036,189,"10/1/1975","9/30/1997","'sin_cos'",0.9782,0.1655,0.6125,487.9217,674.3419,99.8134,"10/15/1976",94.0555,942.3088,0.3008,"Y",9.5141,0.5752,0.1646,0.0651,0.0086
"'06187915'",7036,823,"10/1/1998","1/7/2018","'SCfit'",0.9848,0.9569,0.2096,83.3276,NA,NA,NA,NA,558.5707,0.8557,"Y",62.0459,0.181,0.8829,0.0611,0.3421
"'06187950'",7265,176,"10/1/1988","9/29/2008","'SCfit'",0.9855,0.52,0.4523,151.0021,NA,NA,NA,NA,520.7954,0.6684,"Y",148.575,0.3956,0.4472,0.0691,0.0842
"'06188000'",27878,193,"5/1/1923","9/26/2017","'SCfit'",0.9869,0.4221,0.2974,94.4676,NA,NA,NA,NA,354.3508,0.8116,"Y",885.5763,0.246,0.3297,0.0652,0.0867
"'06191500'",40611,1027,"1889-08-01","8/10/2017","'SCfit'",0.9858,0.4721,0.7277,123.4632,NA,NA,NA,NA,1739.7162,0.5731,"Y",3114.3674,0.6898,0.4644,0.0983,0.0215
"'06197500'",10969,23,"5/1/1910","10/18/1983","'sin_cos'",0.9909,0.8232,0.2767,46.1831,115.2529,14.7865,"2/1/1972",13.1192,51.5602,0.8732,"Y",413.3948,0.2375,0.6521,0.0399,0.1594
"'06209500'",24746,102,"5/1/1932","3/21/2017","'sin_cos'",0.9809,0.3474,0.7562,30.9776,83.2727,10,"6/10/1982",12.1752,85.6538,0.7505,"Y",165.7916,0.7231,0.3459,0.0612,0.0021
"'06218500'",23172,146,"10/1/1945","10/10/2017","'SCfit'",0.9836,0.4281,0.6871,130.9187,NA,NA,NA,NA,385.631,0.5774,"Y",169.6257,0.6377,0.4192,0.0624,0.0166
"'06221400'",18289,8,"10/1/1957","10/23/2017","'SCfit'",0.9845,0.8166,0.2874,53.5914,NA,NA,NA,NA,35.9064,0.9161,"Y",141.1593,0.2551,0.7301,0.0452,0.1322
"'06222700'",10920,184,"10/1/1962","9/29/1993","'SCfit'",0.9875,0.605,0.3402,62.6449,NA,NA,NA,NA,221.326,0.4833,"Y",20.8455,0.2834,0.471,0.0413,0.0812
"'06224000'",23019,263,"10/1/1941","10/9/2017","'SCfit'",0.9799,0.1135,0.5481,44.1539,NA,NA,NA,NA,461.974,0.5233,"Y",287.6611,0.514,0.1131,0.0619,3e-04
"'06228350'",12149,141,"10/1/1976","10/1/2017","'SCfit'",0.9799,0.3224,0.5173,40.995,NA,NA,NA,NA,598.5675,0.5669,"Y",127.2997,0.4677,0.3064,0.0663,0.0311
"'06260000'",11627,118,"10/1/1940","9/29/1995","'SCfit'",0.9763,0.4509,0.4513,96.9078,NA,NA,NA,NA,313.7723,0.5898,"Y",35.568,0.4108,0.4105,0.0489,0.0489
"'06265800'",7670,11,"10/1/1957","9/30/1978","'SCfit'",0.9868,0.1009,0.2097,511.1662,NA,NA,NA,NA,490.2685,0.3594,"Y",13.6862,0.1687,0.0917,0.0248,0.0094
"'06291500'",22828,181,"4/1/1939","9/29/2009","'SCfit'",0.9945,0.5537,0.3621,385.4504,NA,NA,NA,NA,1048.856,0.4974,"Y",47.2093,0.3098,0.4148,0.0229,0.0671
"'06329597'",7531,1571,"10/1/1966","10/7/2014","'SCfit'",0.9548,0.9848,0.0796,200,NA,NA,NA,NA,17210.543,0.836,"Y",13.9599,0.0594,0.9018,0.0406,0.3912
"'06332515'",18787,830,"7/1/1966","12/6/2017","'SCfit'",0.9579,0.9441,0.0821,479.8079,NA,NA,NA,NA,16321.0663,0.5153,"Y",5.5392,0.0597,0.7499,0.0288,0.3027
"'06335000'",15161,109,"4/1/1938","10/3/1979","'SCfit'",0.9675,0.9651,0.1018,342.3234,NA,NA,NA,NA,3920.6278,0.4537,"Y",44.2684,0.0832,0.7783,0.0473,0.3431
"'06336600'",10077,230,"10/1/1977","10/4/2017","'SCfit'",0.9679,0.9171,0.2122,1022.9647,NA,NA,NA,NA,9812.9703,0.3031,"Y",31.2974,0.1981,0.7574,0.0695,0.3565
"'06339100'",18391,436,"8/1/1967","12/6/2017","'SCfit'",0.9646,0.9696,0.1401,129,NA,NA,NA,NA,14147.0666,0.3443,"Y",17.0198,0.1111,0.8233,0.0569,0.3792
"'06339500'",34092,477,"6/1/1903","11/29/2017","'SCfit'",0.9677,0.9049,0.1938,655.9432,NA,NA,NA,NA,16961.5662,0.3351,"Y",86.7839,0.1546,0.6864,0.0512,0.2686
"'06342450'",13690,223,"10/1/1967","9/30/2017","'SCfit'",0.9785,0.3872,0.04,599.2429,NA,NA,NA,NA,5661.158,0.4039,"Y",11.3392,0.0345,0.2113,0.0313,0.1462
"'06344600'",19639,458,"3/1/1964","12/6/2017","'SCfit'",0.9597,0.9602,0.1182,199.0202,NA,NA,NA,NA,8708.9419,0.3819,"Y",13.9314,0.0905,0.7896,0.0481,0.3369
"'06345000'",10956,63,"10/1/1945","9/29/1975","'SCfit'",0.9675,0.9793,0.1344,150,NA,NA,NA,NA,3269.0698,0.573,"Y",36.9921,0.1042,0.8808,0.0436,0.3509
"'06347000'",14394,120,"7/1/1948","9/30/2017","'SCfit'",0.9764,0.9756,0.1107,357,NA,NA,NA,NA,3001.9234,0.4899,"Y",18.4456,0.0895,0.8142,0.0409,0.3637
"'06347500'",15319,126,"10/1/1945","9/30/2017","'SCfit'",0.9739,0.9179,0.0939,665.5933,NA,NA,NA,NA,7063.5037,0.4089,"Y",47.243,0.0744,0.6418,0.0443,0.3418
"'06350000'",24505,546,"9/1/1950","10/3/2017","'SCfit'",0.9683,0.9466,0.2197,534.4311,NA,NA,NA,NA,9641.469,0.5859,"Y",39.6187,0.1696,0.7681,0.0449,0.2883
"'06351000'",14119,136,"4/1/1943","12/7/1981","'SCfit'",0.9655,0.8746,0.2049,527.8053,NA,NA,NA,NA,5945.5875,0.5625,"Y",88.9824,0.1654,0.6394,0.0482,0.2497
"'06352000'",24475,410,"10/1/1950","10/3/2017","'SCfit'",0.9723,0.9648,0.1797,618.6702,NA,NA,NA,NA,12167.71,0.4984,"Y",35.1076,0.1423,0.8274,0.0517,0.34
"'06353000'",20504,353,"4/1/1939","11/19/2017","'SCfit'",0.963,0.8982,0.2828,704.4669,NA,NA,NA,NA,12507.8473,0.4134,"Y",92.7959,0.2464,0.754,0.0933,0.3006
"'06354000'",30350,493,"9/1/1934","10/4/2017","'SCfit'",0.9648,0.909,0.2772,662.047,NA,NA,NA,NA,11999.4877,0.5284,"Y",248.1519,0.2366,0.7627,0.087,0.3294
"'06356000'",14275,157,"9/1/1955","9/30/1994","'SCfit'",0.9856,0.9823,0.1917,167,NA,NA,NA,NA,4380.5401,0.4885,"Y",8.6568,0.1339,0.7616,0.0282,0.3489
"'06360500'",23106,308,"7/1/1954","10/3/2017","'SCfit'",0.9745,0.9044,0.1032,823.2215,NA,NA,NA,NA,13604.6423,0.507,"Y",272.7118,0.0882,0.672,0.0726,0.3372
"'06406000'",24916,342,"8/1/1949","10/18/2017","'SCfit'",0.9834,0.8231,0.6051,399.4307,NA,NA,NA,NA,2335.5108,0.5299,"Y",13.9568,0.5283,0.707,0.0446,0.0949
"'06430532'",8225,177,"4/4/1992","10/9/2017","'SCfit'",0.9944,0.9792,0.8941,436.1173,NA,NA,NA,NA,1887.2254,0.5418,"Y",40.187,0.8589,0.9529,0.046,0.1514
"'06430850'",10237,228,"10/1/1988","10/10/2017","'SCfit'",0.9936,0.9782,0.9653,358.0624,NA,NA,NA,NA,377.903,0.6445,"Y",18.687,0.956,0.9695,0.0692,0.0989
"'06431500'",26007,357,"2/4/1908","11/15/2017","'SCfit'",0.9947,0.9727,0.7852,260.8919,NA,NA,NA,NA,703.7435,0.4967,"Y",60.0891,0.734,0.9253,0.0301,0.1768
"'06440200'",10594,179,"10/1/1988","10/2/2017","'SCfit'",0.9854,0.9695,0.003,158,NA,NA,NA,NA,10040.1332,0.6491,"Y",19.2061,0.0021,0.624,0.0109,0.3468
"'06445980'",10225,28,"10/1/1965","9/29/1999","'sin_cos'",0.9807,0.3655,0.5253,556.7512,501.7651,54.3844,"10/13/1995",10,162.93,0.3174,"Y",11.1413,0.4737,0.34,0.0496,0.026
"'06446500'",7765,121,"10/1/1928","11/6/2017","'SCfit'",0.9837,0.948,0.1111,321.8804,NA,NA,NA,NA,1757.1983,0.5331,"Y",226.2601,0.0867,0.676,0.0522,0.4197
"'06447000'",27509,580,"7/1/1942","10/23/2017","'SCfit'",0.9833,0.3605,0.0938,548.4395,NA,NA,NA,NA,4831.9215,0.5224,"Y",276.9208,0.0744,0.2084,0.0427,0.132
"'06447230'",9309,164,"4/8/1992","10/2/2017","'SCfit'",0.9787,0.8818,0.1074,387.6741,NA,NA,NA,NA,2528.921,0.6203,"Y",28.0762,0.0864,0.5416,0.0524,0.3421
"'06453255'",7679,226,"9/21/1982","9/29/2003","'SCfit'",0.9729,0.9771,0.1987,454.1648,NA,NA,NA,NA,5346.4871,0.401,"Y",58.0417,0.1638,0.9019,0.0526,0.3895
"'06453500'",16435,22,"10/1/1949","9/29/1994","'SCfit'",0.9765,0.9293,0.1858,508.9585,NA,NA,NA,NA,401.8597,0.7448,"Y",45.1198,0.1578,0.7155,0.057,0.3182
"'06453600'",21937,49,"10/1/1957","10/23/2017","'SCfit'",0.9784,0.9713,0.3254,541.4286,NA,NA,NA,NA,1392.1445,0.5523,"Y",89.554,0.2763,0.8637,0.072,0.388
"'06466500'",21493,4,"10/9/1931","12/5/2017","'sin_cos'",0.9851,0.8984,0.5518,745.1294,871.5503,10,"4/2/1985",311.6715,8.5257,0.9993,"Y",93.8544,0.4672,0.7268,0.0573,0.215
"'06467600'",13144,142,"10/1/1957","9/29/1994","'sin_cos'",0.9695,0.9764,0.046,110.4816,885.0266,341.3032,"6/8/1959",10,2864.2899,0.5738,"Y",5.466,0.0396,0.8976,0.0186,0.222
"'06468170'",18064,292,"6/1/1968","11/14/2017","'SCfit'",0.9759,0.7738,0.1384,485.2513,NA,NA,NA,NA,6984.5386,0.3452,"Y",67.0003,0.1268,0.6323,0.0538,0.2358
"'06468250'",11733,222,"10/1/1985","11/14/2017","'sin_cos'",0.9762,0.235,0.2019,766.2292,1321.5659,462.3757,"10/31/1985",33.6628,5050.8403,0.3966,"Y",98.3027,0.1843,0.2116,0.0587,0.0676
"'06470800'",15019,214,"10/1/1976","11/13/2017","'SCfit'",0.9789,0.9559,0.101,450.4436,NA,NA,NA,NA,5422.9812,0.5063,"Y",21.3175,0.0878,0.8561,0.0511,0.3387
"'06471200'",22417,228,"6/1/1956","10/15/2017","'SCfit'",0.9755,0.9717,0.079,304.0603,NA,NA,NA,NA,6212.2442,0.647,"Y",31.6125,0.0717,0.8742,0.0333,0.2845
"'06473500'",8249,8,"3/1/1950","9/29/1972","'SCfit'",0.9718,0.7752,0.0188,466.8151,NA,NA,NA,NA,549.4518,0.5635,"Y",11.516,0.0169,0.5075,0.0079,0.1159
"'06473700'",8205,60,"10/1/1955","10/20/1989","'SCfit'",0.9708,0.8865,0.1507,405.3891,NA,NA,NA,NA,2449.4602,0.5215,"Y",29.4702,0.1407,0.7299,0.0296,0.165
"'06476500'",14458,63,"3/1/1950","9/29/1989","'SCfit'",0.9672,0.6405,0.0512,747.8029,NA,NA,NA,NA,3499.2397,0.5527,"Y",9.3578,0.0449,0.3853,0.0182,0.1226
"'06477500'",22685,367,"9/1/1955","10/9/2017","'SCfit'",0.9747,0.9648,0.0504,509.3328,NA,NA,NA,NA,11666.318,0.3901,"Y",34.2432,0.0434,0.8254,0.0326,0.3234
"'06478540'",15348,197,"10/1/1966","10/7/2008","'SCfit'",0.9752,0.9104,0.0108,431.835,NA,NA,NA,NA,5519.9507,0.459,"Y",7.603,0.0091,0.6835,0.0083,0.1771
"'06479215'",12172,316,"6/6/1984","10/2/2017","'SCfit'",0.9633,0.9436,0.2184,244.7751,NA,NA,NA,NA,2637.7186,0.3309,"Y",14.1083,0.1936,0.8341,0.06,0.3686
