"STAID","N","N_qSC","DATE.B","DATE.E","Model","ALPHA","ECK.OHS.BETA","ECK.CaF.BETA","CS","CBmn","CBamp","sday","CBamp2","RMSE","NS","ACCEPT","Streamflow","BF_Fraction.ECK.CaF","BF_Fraction.ECK.OHS","Days.ECK.CaF","Days.ECK.OHS"
"'03190000'",20345,20,"1/1/1909","11/15/2017","'SCfit'",0.9621,0.4898,0.4092,60.9359,NA,NA,NA,NA,58.6994,0.5915,"Y",538.9476,0.3571,0.4127,0.1284,0.1669
"'03198350'",7720,619,"10/1/1996","11/20/2017","'SCfit'",0.9711,0.9042,0.5113,227.8353,NA,NA,NA,NA,1569.587,0.8617,"Y",86.1138,0.4596,0.7545,0.1127,0.4302
"'03201000'",20469,71,"7/1/1908","10/22/2017","'SCfit'",0.9526,0.3853,0.2166,230.1624,NA,NA,NA,NA,664.2821,0.6693,"Y",296.9545,0.1816,0.2756,0.1194,0.213
"'03201800'",7671,203,"10/1/1957","10/1/1978","'SCfit'",0.9448,0.9781,0.2976,85,NA,NA,NA,NA,2130.2886,0.7638,"Y",5.7279,0.2496,0.8882,0.0932,0.4865
"'03207965'",12110,79,"10/1/1973","10/6/2015","'SCfit'",0.9672,0.528,0.3592,232.1541,NA,NA,NA,NA,1598.9395,0.8635,"Y",8.3061,0.2925,0.3934,0.0782,0.1457
"'03210000'",27710,155,"4/1/1941","2/10/2018","'sin_cos'",0.9685,0.9831,0.324,29.1482,589.3169,227.7484,"6/13/1961",15.5378,2977.5031,0.3444,"Y",68.2346,0.2745,0.8944,0.092,0.5768
"'03213000'",19846,363,"6/1/1930","9/30/1984","'SCfit'",0.9777,0.7502,0.4878,385.2494,NA,NA,NA,NA,1814.6558,0.6544,"Y",553.0506,0.4315,0.6008,0.09,0.2419
"'03213700'",18278,106,"10/1/1967","10/15/2017","'SCfit'",0.9736,0.7183,0.5467,257.791,NA,NA,NA,NA,1256.9894,0.758,"Y",1135.9388,0.4912,0.6045,0.1055,0.2198
"'03228750'",9117,8,"11/1/1973","10/18/2017","'SCfit'",0.9738,0.8583,0.1793,460.3927,NA,NA,NA,NA,294.3842,0.9618,"Y",74.9617,0.1545,0.5119,0.0826,0.4523
"'03237280'",19852,341,"7/1/1963","11/8/2017","'sin_cos'",0.9522,0.0492,0.2694,90.2787,139.0109,10,"10/9/1964",12.9193,351.2831,0.4931,"Y",14.0287,0.2248,0.0474,0.1189,0.0224
"'03241500'",23773,56,"9/1/1952","10/2/2017","'SCfit'",0.9858,0.9865,0.296,395.658,NA,NA,NA,NA,595.0197,0.3814,"Y",68.3078,0.2546,0.8722,0.0663,0.581
"'03248500'",20818,190,"10/1/1938","9/29/1997","'SCfit'",0.9548,0.9559,0.408,52,NA,NA,NA,NA,4609.3885,0.5023,"Y",173.3595,0.3542,0.8382,0.1361,0.537
"'03250100'",10940,113,"8/24/1967","8/8/2017","'SCfit'",0.9496,0.0164,0.2435,112.748,NA,NA,NA,NA,560.8327,0.4274,"Y",131.6744,0.2061,0.0162,0.1444,0.0116
"'03251200'",9502,36,"6/1/1991","6/5/2017","'SCfit'",0.9602,0.8843,0.1634,329.0892,NA,NA,NA,NA,512.2739,0.4339,"Y",323.9585,0.1409,0.6193,0.1137,0.5055
"'03252300'",9379,33,"10/1/1991","6/4/2017","'SCfit'",0.9705,0.7718,0.1801,287.8215,NA,NA,NA,NA,533.3861,0.34,"Y",208.1494,0.1545,0.4747,0.0904,0.42
"'03272700'",16421,3,"12/1/1970","11/15/2017","'sin_cos'",0.9796,0.7219,0.2813,674.0436,558,674.3244,"9/15/1972",10,5.9616,0.9988,"Y",77.3961,0.2369,0.4624,0.0864,0.3036
"'03280700'",22057,133,"10/1/1957","2/19/2018","'sin_cos'",0.9586,0.3751,0.349,231.5647,440.3246,64.2748,"9/17/1970",90.4151,868.1936,0.6379,"Y",91.4025,0.2976,0.3145,0.124,0.138
"'03281040'",10287,131,"8/1/1972","9/29/2000","'SCfit'",0.9559,0.3873,0.32,190.2588,NA,NA,NA,NA,838.3412,0.6211,"Y",272.4821,0.2731,0.3148,0.1266,0.1659
"'03281100'",18020,137,"10/1/1964","1/31/2018","'SCfit'",0.9637,0.569,0.2733,165.3553,NA,NA,NA,NA,1098.5711,0.6528,"Y",260.5534,0.2304,0.3967,0.1163,0.2741
"'03281500'",31020,157,"3/1/1925","2/12/2018","'SCfit'",0.956,0.9612,0.3453,76,NA,NA,NA,NA,881.8642,0.6523,"Y",1052.1804,0.2947,0.8406,0.1315,0.554
"'03282040'",9251,22,"10/1/1992","1/28/2018","'SCfit'",0.9584,0.8504,0.2855,95.9151,NA,NA,NA,NA,106.5577,0.6972,"Y",115.7515,0.2479,0.6284,0.1273,0.4644
"'03311600'",8035,122,"10/1/1972","9/30/1994","'SCfit'",0.9577,0.3027,0.2835,144.6248,NA,NA,NA,NA,451.5652,0.465,"Y",18.1461,0.2301,0.2407,0.0826,0.0915
"'03338780'",9539,72,"10/1/1988","11/12/2014","'SCfit'",0.9775,0.9917,0.3005,287.1088,NA,NA,NA,NA,517.6909,0.3424,"Y",306.6943,0.2566,0.9341,0.091,0.6197
"'03346000'",28149,174,"10/1/1940","10/25/2017","'SCfit'",0.9539,0.9554,0.1952,102.2951,NA,NA,NA,NA,2363.7868,0.3362,"Y",285.9415,0.1592,0.7799,0.1144,0.5244
"'03357330'",5841,313,"10/26/2001","10/23/2017","'SCfit'",0.9634,0.9689,0.3723,262.3878,NA,NA,NA,NA,1084.5136,0.5856,"Y",175.7118,0.3253,0.8485,0.1024,0.5479
