location;GWT [°C];LST [°C];Lon;Lat;ET [g/m²/s];snowdays;DT [K]
Canada;5.86;3.13;-66.32;48.14;0.0217;0.236;2.73
Canada;7.57;2.96;-69.43;47.77;0.0215;0.236;4.61
Canada;6.78;3.45;-64.72;48.35;0.0183;0.383;3.33
Canada;6.44;2.92;-70.75;45.95;0.0226;0.243;3.51
Canada;6.56;3.01;-70.46;45.95;0.0221;0.297;3.55
Canada;6.7;3.18;-71.35;46.29;0.0204;0.25;3.52
Canada;5.23;2.65;-70.36;46.15;0.0218;0.252;2.58
Canada;7.68;3.51;-70.91;46.81;0.0201;0.313;4.16
Canada;7.18;3.84;-71.57;46.65;0.0199;0.28;3.34
Canada;6.04;3.6;-65.25;48.08;0.0196;0.284;2.45
Canada;6.49;3.48;-71.43;46.57;0.0203;0.293;3.02
Canada;7.59;3.64;-70.8;46.87;0.0201;0.308;3.94
Canada;7.37;3.57;-70.75;46.8;0.021;0.276;3.79
Canada;7.74;3.58;-70.68;46.15;0.022;0.256;4.16
Canada;7.07;3.32;-71.48;46.08;0.0205;0.211;3.75
Canada;7.33;3.7;-71.97;46.52;0.02;0.282;3.63
Canada;7.84;4.17;-71.39;46.7;0.0203;0.219;3.68
Canada;7.11;3.73;-70.95;46.62;0.0213;0.265;3.38
Canada;7.33;3.77;-71.98;46.3;0.0207;0.249;3.56
Canada;7.73;3.8;-70.64;45.96;0.0224;0.278;3.92
Canada;8.06;3.81;-71.83;46.56;0.02;0.27;4.25
Canada;8.14;3.75;-71.85;46.38;0.0207;0.21;4.39
Canada;8.05;4.22;-70.34;47.09;0.0145;0.246;3.83
Canada;5.98;3.55;-73.36;46.39;0.023;0.212;2.44
Canada;7.66;4.3;-72.16;46.21;0.021;0.246;3.36
Canada;7.68;4;-72.2;46.35;0.0207;0.212;3.68
Canada;7.43;4;-72.2;46.35;0.0207;0.212;3.43
Canada;7.34;3.85;-71.52;45.26;0.0227;0.176;3.49
Canada;6.87;3.85;-71.52;45.26;0.0227;0.176;3.02
Canada;7.29;4.33;-75.07;45.74;0.0205;0.234;2.96
Canada;8.05;4.53;-73.85;45.73;0.0215;0.251;3.52
Canada;7.89;4.06;-71.35;45.9;0.0227;0.222;3.83
Canada;9.24;4.13;-75.99;46.27;0.0201;0.223;5.11
Canada;8.66;4.5;-74.26;45.65;0.0215;0.247;4.16
Canada;8.1;4;-71.58;45.59;0.0232;0.187;4.1
Canada;6.21;3.85;-71.6;45.44;0.0227;0.172;2.36
Canada;8.38;4.45;-72.24;45.73;0.0233;0.205;3.93
Canada;7.93;4.6;-72.41;45.62;0.0237;0.201;3.33
Canada;8.29;4.78;-74.19;45.64;0.0216;0.239;3.52
Canada;9.52;4.86;-73.96;45.72;0.0215;0.249;4.66
Canada;7.56;4.6;-76.5;45.63;0.0199;0.23;2.95
Canada;8.98;4.8;-74.5;45.63;0.0219;0.192;4.17
Canada;8.63;5.05;-70.98;46.95;0.0201;0.299;3.59
Canada;7.6;4.49;-72.31;45.48;0.0233;0.175;3.11
Canada;7.05;4.25;-73.64;46.11;0.0239;0.243;2.8
Canada;9.29;4.89;-74.19;45.61;0.0216;0.252;4.4
Canada;8.19;4.95;-73.95;45.71;0.0215;0.227;3.24
Canada;8.07;4.85;-72.47;46.33;0.0203;0.228;3.23
Canada;8.01;5.06;-74.42;45.59;0.0215;0.233;2.95
Canada;8.48;5.14;-73.09;45.95;0.0214;0.246;3.34
Canada;8.48;5.14;-72.52;46.39;0.0208;0.23;3.34
Canada;8.04;5.08;-74.32;45.66;0.0215;0.236;2.96
Canada;7.99;5.08;-74.32;45.66;0.0215;0.236;2.91
Canada;4.62;5.25;-72.91;45.87;0.0219;0.218;-0.62
Canada;9.02;5.34;-72.76;45.88;0.0219;0.234;3.67
Canada;8.6;5.34;-72.76;45.88;0.0219;0.234;3.26
Canada;4.85;5.26;-73.13;45.88;0.0214;0.25;-0.42
Canada;7.75;5.22;-74.08;45.56;0.0216;0.247;2.53
Canada;8.57;5.17;-72.58;45.68;0.0232;0.186;3.4
Canada;8.39;5.17;-75.78;45.55;0.0209;0.171;3.22
Canada;5.94;4.12;-72.3;45.35;0.0233;0.124;1.83
Canada;8.27;4.98;-72.63;45.09;0.0236;0.13;3.29
Canada;4.65;5.58;-72.84;45.82;0.0219;0.229;-0.94
Canada;7.41;4.98;-72.17;45.38;0.0234;0.174;2.42
Canada;7.72;5.22;-72.39;45.06;0.0239;0.16;2.5
Canada;5.7;5.86;-73.28;45.75;0.0221;0.222;-0.16
Canada;7.1;5.9;-72.53;46.38;0.0208;0.219;1.2
Canada;9.13;5.72;-72.76;45.54;0.022;0.187;3.41
Canada;4.31;5.79;-72.84;45.68;0.022;0.196;-1.48
Canada;9.87;5.59;-72.7;45.3;0.0236;0.133;4.27
Canada;7.99;5.75;-72.83;45.33;0.0231;0.167;2.24
Canada;8.33;6.14;-74.32;45.13;0.0213;0.15;2.19
Canada;8.07;6.14;-74.32;45.13;0.0213;0.15;1.94
Canada;8.05;6.07;-72.94;45.58;0.022;0.201;1.98
Canada;6.27;6.19;-73.31;45.64;0.0221;0.188;0.08
Canada;8.96;5.95;-72.93;45.18;0.0236;0.157;3.01
Canada;8.62;5.95;-72.93;45.18;0.0236;0.157;2.67
Canada;8.77;5.94;-72.83;45.45;0.0231;0.17;2.83
Canada;8.45;5.9;-73.05;45.45;0.0217;0.135;2.55
Canada;8.88;5.84;-72.76;45.22;0.0236;0.13;3.04
Canada;8.4;5.84;-72.76;45.22;0.0236;0.13;2.56
Canada;7.1;5.58;-72.87;45.07;0.0236;0.106;1.52
Canada;8.53;6.12;-74.26;45.01;0.0213;0.16;2.41
Canada;9.08;6.43;-72.54;46.38;0.0208;0.198;2.66
Canada;8.13;5.82;-73.82;45.02;0.0216;0.135;2.31
Canada;5.72;6.31;-73.07;45.44;0.0217;0.164;-0.59
Canada;8.3;6.38;-73.65;45.29;0.0202;0.187;1.92
Canada;8.84;6.46;-73.23;45.5;0.0218;0.183;2.37
Canada;8.36;6.47;-74.35;45.03;0.0213;0.172;1.89
Canada;8.39;6.48;-73.89;45.16;0.0216;0.172;1.9
Canada;5.65;6.31;-73.25;45.24;0.0223;0.177;-0.66
Canada;8.58;6.44;-73.85;45.08;0.0216;0.169;2.13
Canada;8.55;6.44;-73.85;45.08;0.0216;0.169;2.11
Canada;5.61;6.56;-73.02;45.52;0.0218;0.167;-0.95
Canada;8.25;6.39;-73.91;45.03;0.0216;0.142;1.86
Canada;8.94;6.26;-74.25;45.09;0.0213;0.129;2.68
Canada;8.87;6.79;-73.77;45.3;0.0194;0.193;2.08
Canada;9.62;6.33;-73.31;45.14;0.0223;0.158;3.28
Canada;2.66;6.64;-73.7;45.25;0.0202;0.19;-3.98
Canada;8.17;6.76;-73.73;45.3;0.0202;0.186;1.4
Canada;8.9;6.64;-73.63;45.26;0.0202;0.175;2.26
Canada;9.29;6.66;-73.33;45.37;0.0217;0.194;2.62
Canada;3.65;6.75;-73.75;45.24;0.0216;0.191;-3.1
Canada;8.55;6.44;-73.57;45.19;0.0221;0.174;2.11
Canada;8.14;6.81;-73.74;45.28;0.0202;0.192;1.34
Canada;7.83;6.78;-73.78;45.23;0.0216;0.189;1.05
Canada;9.67;7.04;-73.72;45.3;0.0202;0.183;2.63
Canada;9.44;6.54;-73.88;45.11;0.0216;0.114;2.89
Canada;8.71;6.78;-73.81;45.05;0.0216;0.116;1.93
Canada;2.97;7.01;-73.79;45.26;0.0194;0.194;-4.04
Canada;8.22;6.96;-73.61;45.14;0.0221;0.179;1.25
Canada;8.03;7.12;-73.77;45.26;0.0194;0.191;0.91
Canada;7.8;7.16;-73.78;45.25;0.0194;0.182;0.64
Canada;8.46;7.03;-73.6;45.16;0.0221;0.165;1.43
France, Caribbean;25.46;24.03;-61.46;16.3;0.0182;0.001;1.43
France, Caribbean;26.55;24.54;-61.47;16.31;0.0182;0;2.01
France, Caribbean;26.48;25.1;-61.43;16.32;0.0182;0;1.39
France, Caribbean;26.76;25.19;-61.42;16.32;0.0182;0.001;1.58
France, Caribbean;26.78;25.18;-61.45;16.34;0.0182;0;1.6
France, Caribbean;27.07;25.34;-61.41;16.34;0.0182;0;1.73
France, Caribbean;26.83;25.45;-61.44;16.36;0.0182;0;1.38
France, Caribbean;27.03;25.69;-61.36;16.32;0.0182;0;1.34
France, Caribbean;26.66;26.06;-61.46;16.4;0.0182;0;0.61
Central African Rebublic;26.8;26.12;18.52;4.35;0.0371;0.001;0.68
Central African Rebublic;27.65;26.23;18.52;4.37;0.0371;0;1.42
Chile;16.8;17.48;-70.66;-33.79;0.0093;0;-0.68
Chile;17.5;17.51;-70.67;-33.8;0.0093;0;-0.01
Chile;16.3;17.49;-70.56;-33.71;0.0064;0.001;-1.19
Chile;17.2;17.95;-70.63;-33.86;0.0093;0.001;-0.75
Chile;18.2;18.33;-70.53;-33.36;0.0056;0.002;-0.13
Chile;13.8;18.29;-70.56;-33.73;0.0064;0.001;-4.49
Chile;16.25;18.43;-70.82;-33.56;0.0079;0.001;-2.18
Chile;16.4;18.45;-70.5;-33.36;0.0056;0.002;-2.05
Chile;16.8;18.42;-70.7;-33.24;0.0064;0;-1.62
Chile;16.2;18.42;-70.55;-33.38;0.0056;0.001;-2.22
Chile;18.2;18.58;-70.68;-33.24;0.0064;0;-0.38
Chile;17.5;18.58;-70.69;-33.24;0.0064;0;-1.08
Chile;16.5;18.86;-70.82;-33.57;0.0079;0;-2.36
Chile;15.8;18.91;-70.69;-33.23;0.0064;0.001;-3.11
Chile;18.8;19.21;-70.85;-33.27;0.007;0.002;-0.41
Chile;18.9;19.51;-70.88;-33.19;0.0066;0;-0.61
Chile;15.6;19.5;-70.59;-33.4;0.0056;0;-3.9
Chile;16.9;20.2;-70.77;-33.51;0.0079;0;-3.3
Chile;18.3;20.33;-70.89;-33.17;0.0066;0.001;-2.03
Chile;19.2;21.04;-70.69;-33.03;0.0064;0.001;-1.84
Chile;17.9;20.98;-70.65;-33.18;0.0064;0.001;-3.08
Chile;17.6;21;-70.66;-33.21;0.0064;0.001;-3.4
Chile;19.1;21.26;-70.68;-33.02;0.0064;0;-2.16
Chile;19.8;21.48;-70.71;-33.04;0.0064;0;-1.68
Chile;21.2;21.58;-70.7;-33.02;0.0064;0;-0.38
Cameroon;27.8;23.27;9.94;4.52;0.0356;0;4.53
Cameroon;28;23.14;10.02;4.56;0.0358;0;4.86
Cameroon;27.6;23.87;9.79;3.97;0.0291;0;3.73
Cameroon;27.9;24.32;9.85;4.22;0.0322;0;3.58
Cameroon;28.7;22.9;9.77;3.64;0.0298;0;5.8
Cameroon;27;23.3;9.89;3.84;0.0291;0;3.7
Cameroon;27.8;22.46;9.72;4.08;0.0314;0;5.34
Cameroon;27.3;23.65;9.68;4.26;0.0296;0;3.65
Cameroon;27.5;23.36;9.89;3.83;0.0291;0;4.14
Cameroon;27.8;22.25;9.77;3.99;0.0291;0;5.55
Cameroon;28;23.51;9.62;4.15;0.0314;0;4.49
Cameroon;27.8;21.4;9.67;4.08;0.0314;0;6.4
Cameroon;28;22.89;9.79;4.07;0.0322;0;5.11
Cameroon;28.7;22.4;9.7;4.01;0.0314;0;6.3
Cameroon;25.5;23.75;9.8;4.09;0.0322;0;1.75
Costa Rica;28.13;24.83;-84.28;9.55;0.0314;0.002;3.29
Costa Rica;28.88;24.93;-84.3;9.56;0.0314;0.001;3.94
Costa Rica;28.75;25.04;-84.33;9.51;0.0314;0.001;3.71
Costa Rica;29.13;25.26;-84.37;9.53;0.0314;0;3.86
Costa Rica;27.5;25.39;-84.36;9.53;0.0314;0;2.11
Costa Rica;27.63;25.35;-84.32;9.52;0.0314;0;2.28
Costa Rica;28.38;25.31;-84.37;9.55;0.0314;0;3.07
Costa Rica;28.5;25.59;-84.36;9.54;0.0314;0;2.91
Costa Rica;29.6;25.48;-84.34;9.58;0.0314;0;4.12
Costa Rica;28.07;25.42;-84.32;9.6;0.0314;0;2.65
Denmark;5.1;6.68;10.09;57.27;0.0176;0.119;-1.58
Denmark;8.6;6.92;9.46;56.17;0.0162;0.154;1.68
Denmark;9.2;7;9.05;56.03;0.015;0.158;2.2
Denmark;8.7;6.99;9.06;56.03;0.015;0.192;1.71
Denmark;8.1;6.99;9.49;55.8;0.0137;0.109;1.11
Denmark;8.6;7.03;10.11;56.34;0.0156;0.132;1.57
Denmark;8.9;7.01;9.27;55.9;0.0137;0.124;1.89
Denmark;8.65;7.21;10.09;57.11;0.0171;0.11;1.44
Denmark;8.7;7.39;9.92;55.91;0.0103;0.111;1.31
Denmark;8.7;7.39;9.92;55.91;0.0103;0.111;1.31
Denmark;8.7;7.21;9.27;55.9;0.0137;0.116;1.49
Denmark;9.3;7.33;11.71;55.75;0.0156;0.085;1.97
Denmark;9.3;7.33;11.71;55.75;0.0156;0.085;1.97
Denmark;9.4;7.33;11.71;55.75;0.0156;0.085;2.07
Denmark;9.4;7.33;11.71;55.75;0.0156;0.085;2.07
Denmark;9.1;7.33;11.71;55.75;0.0156;0.085;1.77
Denmark;9.4;7.35;9.95;56.42;0.016;0.097;2.05
Denmark;9.5;7.4;9.65;57.22;0.0168;0.106;2.1
Denmark;8.6;7.47;9.9;56.99;0.0156;0.103;1.13
Denmark;8.6;7.47;9.9;56.99;0.0156;0.103;1.13
Denmark;8.5;7.47;9.9;56.99;0.0156;0.103;1.03
Denmark;8.55;7.47;9.91;56.99;0.0156;0.11;1.08
Denmark;9.35;7.41;10.81;56.36;0.0102;0.088;1.94
Denmark;8.2;7.48;9.98;57.28;0.0177;0.116;0.72
Denmark;8.3;7.48;9.98;57.28;0.0177;0.116;0.82
Denmark;8.35;7.48;9.98;57.28;0.0177;0.116;0.87
Denmark;9.2;7.55;10.75;56.48;0.0147;0.111;1.65
Denmark;8.7;7.58;9.92;57.08;0.0163;0.127;1.12
Denmark;8.65;7.58;9.92;57.08;0.0163;0.127;1.07
Denmark;10.8;7.53;12.19;55.75;0.0152;0.073;3.27
Denmark;9.3;7.59;9.51;55.37;0.0126;0.106;1.71
Denmark;8.9;7.73;9.52;54.97;0.0128;0.104;1.17
Denmark;8.8;7.53;12.4;55.86;0.0151;0.089;1.27
Denmark;10.1;7.68;12.3;55.78;0.0151;0.101;2.42
Denmark;10.2;7.68;12.3;55.78;0.0151;0.101;2.52
Denmark;9.5;7.92;11.85;55.71;0.0155;0.132;1.58
Denmark;9.5;7.92;11.85;55.71;0.0155;0.132;1.58
Denmark;9.4;7.65;11.84;55.19;0.0154;0.082;1.75
Denmark;9.6;7.72;11.51;55.3;0.0151;0.076;1.88
Denmark;9.5;7.81;11.51;55.27;0.0151;0.079;1.69
Denmark;9.95;7.7;12.15;55.26;0.016;0.08;2.25
Denmark;10.4;7.7;12.14;55.26;0.016;0.091;2.7
Denmark;9.4;7.98;11.96;55.75;0.0155;0.088;1.42
Denmark;10.8;8.05;12.01;55.64;0.0152;0.094;2.75
Denmark;9.75;9.67;12.43;55.71;0.0115;0.055;0.08
Finland;7.7;2.28;27.29;61.67;0.0139;0.275;5.42
Finland;8.7;2.36;27.29;61.67;0.0139;0.237;6.34
Finland;8.2;2.36;27.29;61.67;0.0139;0.237;5.84
Finland;7.6;2.36;27.29;61.67;0.0139;0.237;5.24
Finland;8.9;2.36;27.29;61.67;0.0139;0.237;6.54
Finland;7.48;2.36;27.29;61.67;0.0139;0.215;5.11
Finland;8;2.36;27.29;61.67;0.0139;0.215;5.64
Finland;8.5;2.36;27.29;61.67;0.0139;0.215;6.14
Finland;9.6;2.36;27.29;61.67;0.0139;0.215;7.24
Finland;8.4;2.36;27.29;61.67;0.0139;0.215;6.04
Finland;8.03;2.36;27.28;61.68;0.0139;0.234;5.66
Finland;7.56;2.41;27.27;61.68;0.0139;0.218;5.15
Finland;6.98;2.41;27.27;61.68;0.0139;0.218;4.57
Finland;8.35;2.41;27.28;61.68;0.0139;0.242;5.94
France, Mainland;10.76;8.86;1.94;50.61;0.0175;0.06;1.9
France, Mainland;8.59;8.26;7.15;48.49;0.0191;0.142;0.33
France, Mainland;9.82;9.05;4.75;49.66;0.0202;0.049;0.77
France, Mainland;10.46;9.08;5.3;49.48;0.0204;0.033;1.38
France, Mainland;11.39;9.6;0.7;49.7;0.0192;0.049;1.78
France, Mainland;12.54;9.75;0.32;49.73;0.0133;0.049;2.79
France, Mainland;10.65;9.34;4.65;49.68;0.0191;0.057;1.31
France, Mainland;11.56;9.78;0.93;49.59;0.0178;0.07;1.78
France, Mainland;10.71;9.41;4.92;49.64;0.0202;0.028;1.3
France, Mainland;11.72;9.89;0.51;49.54;0.0192;0.057;1.83
France, Mainland;11.41;9.83;0.6;49.65;0.0192;0.05;1.58
France, Mainland;10.66;9.51;7.11;47.53;0.0204;0.058;1.15
France, Mainland;10.5;9.33;5.63;49.47;0.0194;0.035;1.18
France, Mainland;11.37;9.93;1.17;49.48;0.0163;0.057;1.44
France, Mainland;10.83;9.38;5.39;49.48;0.0204;0.043;1.46
France, Mainland;10.22;9.46;5.94;48.85;0.0201;0.037;0.76
France, Mainland;12.03;10.03;-3.64;48.04;0.0211;0.044;2
France, Mainland;11.61;10;0.67;49.31;0.019;0.07;1.61
France, Mainland;10.07;9.59;6.06;49.3;0.0191;0.046;0.48
France, Mainland;11.46;10.11;0.58;49.09;0.0181;0.032;1.35
France, Mainland;10.43;9.72;5.92;48.64;0.0205;0.059;0.71
France, Mainland;10;9.73;6.06;48.64;0.0198;0.03;0.27
France, Mainland;11.71;10.27;0.48;49.5;0.0133;0.046;1.44
France, Mainland;13.11;10.33;0.21;49.27;0.0207;0.048;2.78
France, Mainland;10.83;9.78;6.19;48.8;0.0192;0.029;1.04
France, Mainland;10.83;9.93;5.32;49.28;0.0204;0.043;0.89
France, Mainland;11.19;10.25;3.16;48.87;0.0175;0.032;0.95
France, Mainland;10.28;9.84;5.77;49.49;0.0195;0.032;0.44
France, Mainland;10.19;10.03;6.06;48.74;0.0198;0.037;0.17
France, Mainland;12.31;10.32;2.84;48.82;0.0169;0.032;1.99
France, Mainland;11.75;10.06;5.37;49.14;0.0201;0.038;1.69
France, Mainland;11.56;10.41;3.36;48.7;0.0171;0.035;1.15
France, Mainland;11.24;10.48;2.86;48.63;0.0169;0.022;0.75
France, Mainland;11.33;10.26;4.68;47.98;0.021;0.024;1.07
France, Mainland;11.56;10.47;3.41;48.61;0.0171;0.036;1.09
France, Mainland;9.96;10.49;5.69;45.37;0.0193;0.077;-0.53
France, Mainland;12.77;10.97;-3.01;47.75;0.0204;0.039;1.8
France, Mainland;14.62;10.71;2.99;47.68;0.0182;0.024;3.91
France, Mainland;11.48;10.61;8.09;48.88;0.0184;0.024;0.86
France, Mainland;12.08;10.73;3.57;47.43;0.0204;0.024;1.35
France, Mainland;13.67;11.2;-1.94;47.68;0.0187;0.035;2.47
France, Mainland;12.46;11.16;3.31;48.29;0.018;0.022;1.3
France, Mainland;13.51;11.5;-1.93;47.68;0.0187;0.037;2.01
France, Mainland;13.38;11.54;-2.19;47.48;0.0167;0.056;1.85
France, Mainland;12;11.08;8.04;48.82;0.0184;0.023;0.92
France, Mainland;9.39;11.51;-0.54;43.1;0.0239;0.078;-2.11
France, Mainland;12.42;11.35;1.61;48.03;0.0163;0.025;1.07
France, Mainland;14.01;11.52;-1.21;47.57;0.0179;0.036;2.49
France, Mainland;12.18;11.15;7.5;48.41;0.0193;0.02;1.03
France, Mainland;12.55;11.32;1.88;47.2;0.0179;0.028;1.23
France, Mainland;12.94;11.63;-3.24;47.71;0.0204;0.058;1.32
France, Mainland;12.73;11.18;4.01;46.44;0.0214;0.023;1.54
France, Mainland;11.87;11.26;3.54;48.02;0.018;0.029;0.61
France, Mainland;11.89;11.3;7.52;48.52;0.0174;0.018;0.58
France, Mainland;12.41;11.33;7.47;48.3;0.0193;0.023;1.08
France, Mainland;11.93;11.31;7.56;48.47;0.0179;0.016;0.63
France, Mainland;12.28;11.33;7.88;48.76;0.0184;0.028;0.96
France, Mainland;12.53;11.33;5.61;47.46;0.017;0.029;1.2
France, Mainland;13.62;11.7;-0.11;46.77;0.0179;0.03;1.92
France, Mainland;12.57;11.47;7.54;47.88;0.0196;0.013;1.11
France, Mainland;12.8;11.39;4.94;46.58;0.0197;0.021;1.41
France, Mainland;12.99;11.54;7.67;48.55;0.0174;0.015;1.45
France, Mainland;12.37;11.41;5.28;47.18;0.0172;0.023;0.96
France, Mainland;12.51;11.67;2.49;46.71;0.0196;0.026;0.84
France, Mainland;12.34;11.53;6.18;49.16;0.019;0.023;0.81
France, Mainland;9.45;11.66;5.78;45.05;0.0204;0.02;-2.21
France, Mainland;13.6;11.63;7.78;48.51;0.0183;0.006;1.97
France, Mainland;12.36;11.74;7.73;48.49;0.0179;0.017;0.62
France, Mainland;13.02;12.01;0.41;45.81;0.02;0.017;1
France, Mainland;12.81;11.92;5.32;45.57;0.0203;0.018;0.89
France, Mainland;12.75;11.89;5.46;46.74;0.0232;0.016;0.86
France, Mainland;11.82;12.07;5.27;45.36;0.0191;0.017;-0.24
France, Mainland;12.42;12;5.33;45.67;0.0203;0.017;0.43
France, Mainland;14.25;12.57;-1.83;47;0.0201;0.014;1.68
France, Mainland;16.73;12.43;-0.15;45.12;0.0215;0.019;4.3
France, Mainland;14.78;12.52;0.27;45.43;0.0218;0.018;2.26
France, Mainland;13.63;12.47;1.3;44.54;0.023;0.017;1.16
France, Mainland;11.95;12.31;7.7;48.61;0.0174;0.012;-0.36
France, Mainland;14.48;12.31;5.21;46.18;0.0234;0.018;2.17
France, Mainland;13.29;12.58;1.27;44.65;0.023;0.018;0.71
France, Mainland;14.09;12.48;5.01;45.31;0.0199;0.011;1.61
France, Mainland;13.82;12.68;-0.04;46.39;0.0191;0.024;1.14
France, Mainland;13.29;12.6;2.49;46.72;0.0196;0.023;0.69
France, Mainland;14.1;12.51;5.09;45.83;0.0219;0.008;1.58
France, Mainland;11.45;12.81;1.56;44.8;0.0239;0.009;-1.35
France, Mainland;13.43;12.99;-0.93;46.18;0.0196;0.018;0.44
France, Mainland;13.12;13;1.58;44.79;0.0239;0.006;0.11
France, Mainland;10.24;12.93;5.72;45.09;0.0219;0.014;-2.69
France, Mainland;13.71;13.04;1.77;44.91;0.0248;0.012;0.68
France, Mainland;13.43;12.81;4.96;45.65;0.021;0.017;0.62
France, Mainland;13.5;12.91;5.05;47.29;0.0198;0.011;0.59
France, Mainland;14.75;13.07;5.04;45.74;0.0208;0.01;1.67
France, Mainland;13.6;13.42;-0.29;43.23;0.0227;0.018;0.18
France, Mainland;18.5;13.46;-0.25;43.82;0.022;0.012;5.04
France, Mainland;13.97;13.58;-0.5;43.34;0.0168;0.019;0.39
France, Mainland;13.95;13.57;-0.64;45.73;0.0202;0.023;0.38
France, Mainland;12.48;13.65;-0.31;43.25;0.0227;0.01;-1.18
France, Mainland;13.14;13.55;1.05;44.49;0.0215;0.017;-0.41
France, Mainland;15.15;13.57;1.23;43.99;0.0204;0.008;1.57
France, Mainland;15.43;13.83;-0.69;44.89;0.0164;0.021;1.6
France, Mainland;13.07;13.91;-0.47;43.32;0.0168;0.017;-0.84
France, Mainland;16.83;13.7;4.8;45.29;0.021;0.01;3.13
France, Mainland;15.21;13.71;1.23;43.99;0.0204;0.014;1.49
France, Mainland;14.91;13.76;1.23;43.99;0.0204;0.014;1.16
France, Mainland;13.9;13.76;1.23;43.99;0.0204;0.014;0.14
France, Mainland;15.39;13.76;1.23;43.99;0.0204;0.014;1.63
France, Mainland;15.04;13.76;1.23;43.99;0.0204;0.014;1.28
France, Mainland;12.97;13.93;-0.99;43.47;0.0199;0.018;-0.96
France, Mainland;13.13;13.99;4.84;44.59;0.0214;0.004;-0.86
France, Mainland;14.19;14.16;-0.26;43.24;0.0227;0.011;0.03
France, Mainland;17.05;13.83;7.58;47.58;0.0191;0.008;3.22
France, Mainland;14.61;13.83;7.58;47.58;0.0191;0.008;0.79
France, Mainland;12.54;14.27;-0.34;43.28;0.0168;0.013;-1.73
France, Mainland;13.97;13.89;7.58;47.58;0.0191;0.01;0.08
France, Mainland;13.71;14.1;4.83;45.24;0.021;0.008;-0.39
France, Mainland;14.36;14.27;1.43;44.44;0.0231;0.012;0.09
France, Mainland;11.97;14.52;5.82;43.8;0.0183;0.005;-2.55
France, Mainland;15.06;14.5;-0.69;44.81;0.0164;0.015;0.56
France, Mainland;16.12;14.27;4.94;44.95;0.0212;0.007;1.85
France, Mainland;13.88;14.64;4.7;44.45;0.0191;0.021;-0.77
France, Mainland;15.13;14.75;4.05;44.02;0.0239;0.003;0.38
France, Mainland;13.38;14.67;4.99;44.29;0.0201;0.003;-1.29
France, Mainland;14.31;15.21;4.97;45.73;0.021;0.007;-0.9
France, Mainland;16.09;16.16;4.87;43.92;0.0191;0.009;-0.06
France, Mainland;16.56;16.31;4.44;43.68;0.0179;0.004;0.25
France, Mainland;19.17;16.42;3.44;43.37;0.016;0.005;2.75
France, Mainland;18.28;17.32;3.86;43.57;0.0189;0.001;0.96
Germany;7.74;6.92;8.27;47.82;0.021;0.254;0.83
Germany;6.57;6.82;8.18;48.03;0.0214;0.238;-0.25
Germany;6.09;6.89;7.99;47.86;0.0208;0.266;-0.8
Germany;6.23;6.92;8.17;47.77;0.0203;0.259;-0.69
Germany;6.11;7.01;8;47.77;0.0208;0.3;-0.89
Germany;7.47;7.22;8.39;48.12;0.021;0.192;0.25
Germany;6.78;7.17;8.23;48.12;0.0214;0.245;-0.39
Germany;7.5;7.04;8.47;48.61;0.0212;0.221;0.46
Germany;8.59;7.36;8.44;48.01;0.021;0.118;1.23
Germany;9;7.36;9.41;48.4;0.021;0.107;1.64
Germany;7.57;7.4;8.48;48.74;0.0212;0.244;0.17
Germany;9.23;7.64;10.1;47.76;0.0251;0.176;1.59
Germany;9.39;7.45;9.46;48.37;0.021;0.093;1.94
Germany;9.44;7.39;9.43;48.38;0.021;0.109;2.05
Germany;8.76;7.48;9.05;48.2;0.0209;0.088;1.29
Germany;7.15;7.49;8.37;48.44;0.0221;0.226;-0.34
Germany;9.26;7.56;9.38;48.43;0.021;0.112;1.7
Germany;9.6;7.65;10.07;47.82;0.0251;0.144;1.95
Germany;8.43;7.58;8.99;48.27;0.0223;0.12;0.85
Germany;8.08;7.61;8.97;48.28;0.0223;0.139;0.47
Germany;9.38;7.57;9.47;48.44;0.021;0.104;1.81
Germany;6.8;7.72;7.97;47.83;0.0208;0.166;-0.92
Germany;9;7.63;8.09;47.68;0.022;0.138;1.37
Germany;9.38;7.63;9.07;48.1;0.0209;0.122;1.75
Germany;7.57;7.81;7.92;47.71;0.0213;0.258;-0.24
Germany;9.01;7.79;9.43;48.45;0.021;0.081;1.21
Germany;9.28;7.9;8.62;47.84;0.023;0.135;1.38
Germany;8.71;7.85;8.48;48.33;0.0221;0.119;0.86
Germany;7.93;7.84;8.14;48.06;0.0214;0.232;0.09
Germany;10.15;7.85;8.55;47.97;0.023;0.105;2.3
Germany;9.66;8.01;9.95;47.66;0.0251;0.178;1.66
Germany;9.6;7.87;9.65;48.08;0.0205;0.065;1.73
Germany;7.92;7.89;8.55;48.57;0.0209;0.107;0.03
Germany;9.11;7.96;9.42;48.46;0.021;0.093;1.15
Germany;9.61;7.98;8.54;48.18;0.0221;0.115;1.63
Germany;7.66;7.92;8.48;48.76;0.0196;0.201;-0.26
Germany;9.65;7.99;9.33;47.93;0.0222;0.091;1.66
Germany;9.36;7.98;9.89;48.55;0.0212;0.075;1.38
Germany;9.56;8.05;9.93;48.03;0.0211;0.117;1.51
Germany;9.38;8.05;8.73;47.95;0.023;0.148;1.33
Germany;10.35;7.98;9.27;47.97;0.0222;0.092;2.37
Germany;7.94;8;8.13;47.67;0.022;0.154;-0.06
