,site,climscenario,pumpscenario,year,totalannualflow,lowest7dayperyear,lowest7dayperyearDOY,daysbelow0.1year,zeroflowcounts,totalbelow0.1year,totallowflowperiods,meanlowflowperiods,maxlowflowperiods,slope7,slope14,slope30,recess7,recess14,recess30,col
3560850,10343500,Dry,Seasonal,1,27.503,0.034,231,47,0,0.0717,2,23.5,46,-0.0004047619,-0.0003464286,-0.0001012097,-0.01136028,-0.009419151,-0.002752558,Q_cms_dplt12
3560899,10343500,Dry,Seasonal,50,25.313,0.028,231,103,0,0.5503,1,103.0,103,-0.0004047619,-0.0003464286,-0.0001012097,-0.01366239,-0.0112582,-0.003290013,Q_cms_dplt12
3560900,10343500,Dry,Seasonal,1,24.735,0.017,231,43,0,0.0513,1,43.0,43,-0.0004047619,-0.0003464286,-0.0001435484,-0.02174568,-0.01754619,-0.007080825,Q_cms_dplt13
3560949,10343500,Dry,Seasonal,50,24.028,0.015,231,51,0,0.1181,3,17.0,49,-0.0004047619,-0.0004428571,-0.000141129,-0.02436952,-0.02431874,-0.007735951,Q_cms_dplt13
3560950,10343500,Dry,Seasonal,1,27.372,0.034,231,37,0,0.0555,2,18.5,30,-0.0004047619,-0.0003464286,-0.0001012097,-0.01136028,-0.009419151,-0.002752558,Q_cms_dplt14
3560999,10343500,Dry,Seasonal,50,24.502,0.026,231,114,0,0.7,1,114.0,114,-0.0004047619,-0.0003464286,-0.0001012097,-0.0146523,-0.01204223,-0.003519129,Q_cms_dplt14
3561000,10343500,Dry,Seasonal,1,25.756,0.024,231,40,0,0.042,1,40.0,40,-0.0004880952,-0.0003714286,-0.0001532258,-0.01860495,-0.0134973,-0.005442708,Q_cms_dplt15
3561049,10343500,Dry,Seasonal,50,24.121,0.02,239,81,0,0.2401,2,40.5,71,-8.333333e-05,-0.000225,-0.0002459677,-0.004065847,-0.01026224,-0.01044268,Q_cms_dplt15
3561050,10343500,Dry,Seasonal,1,27.503,0.034,231,47,0,0.0717,2,23.5,46,-0.0004047619,-0.0003464286,-0.0001012097,-0.01136028,-0.009419151,-0.002752558,Q_cms_dplt16
3561099,10343500,Dry,Seasonal,50,25.313,0.028,231,103,0,0.5503,1,103.0,103,-0.0004047619,-0.0003464286,-0.0001012097,-0.01366239,-0.0112582,-0.003290013,Q_cms_dplt16
3561100,10343500,Dry,Seasonal,1,27.503,0.034,231,47,0,0.0717,2,23.5,46,-0.0004047619,-0.0003464286,-0.0001012097,-0.01136028,-0.009419151,-0.002752558,Q_cms_dplt17
3561149,10343500,Dry,Seasonal,50,25.313,0.028,231,103,0,0.5503,1,103.0,103,-0.0004047619,-0.0003464286,-0.0001012097,-0.01366239,-0.0112582,-0.003290013,Q_cms_dplt17
3561150,10343500,Dry,Seasonal,1,27.503,0.034,231,47,0,0.0717,2,23.5,46,-0.0004047619,-0.0003464286,-0.0001012097,-0.01136028,-0.009419151,-0.002752558,Q_cms_dplt18
3561199,10343500,Dry,Seasonal,50,26.408,0.031,231,88,0,0.2708,1,88.0,88,-0.0004047619,-0.0003464286,-0.0001012097,-0.01240537,-0.01025679,-0.002997357,Q_cms_dplt18
