,site,climscenario,pumpscenario,year,totalannualflow,lowest7dayperyear,lowest7dayperyearDOY,daysbelow0.1year,zeroflowcounts,totalbelow0.1year,totallowflowperiods,meanlowflowperiods,maxlowflowperiods,slope7,slope14,slope30,recess7,recess14,recess30,col
2996349,7312100,Wet,Seasonal,50,3151.585,0.007,343,38,0,13.15,3,12.66667,25,-0.08290476,-0.01478571,-0.09731734,-0.6730237,-0.1682164,-0.1399952,Q_cms_dplt33
2996350,7312100,Wet,Seasonal,1,3152.576,0.07,343,37,0,12.1307,3,12.33333,24,-0.08341667,-0.01525,-0.09783952,-0.3552637,-0.07894569,-0.1047159,Q_cms_dplt34
2996399,7312100,Wet,Seasonal,50,3150.368,0.067,343,37,0,12.3007,3,12.33333,24,-0.08333333,-0.015225,-0.09782823,-0.3625386,-0.08084059,-0.1057821,Q_cms_dplt34
2996400,7312100,Wet,Seasonal,1,3157.822,0.049,343,37,0,12.1723,3,12.33333,24,-0.08305952,-0.01492143,-0.09745806,-0.4066217,-0.09111101,-0.111392,Q_cms_dplt35
2996449,7312100,Wet,Seasonal,50,3150.876,0.037,343,37,0,12.7093,3,12.33333,24,-0.08302381,-0.01489643,-0.09743306,-0.4480898,-0.1024731,-0.1165149,Q_cms_dplt35
2996450,7312100,Wet,Seasonal,1,3154.546,0.062,343,37,0,12.1409,3,12.33333,24,-0.0832381,-0.01509643,-0.09767258,-0.372602,-0.0828707,-0.1070702,Q_cms_dplt36
2996499,7312100,Wet,Seasonal,50,3150.559,0.055,343,37,0,12.4469,3,12.33333,24,-0.08317857,-0.0151,-0.09765081,-0.3899685,-0.08758409,-0.1093471,Q_cms_dplt36
2996500,7312100,Wet,Seasonal,1,3152.681,0.07,343,37,0,12.1329,3,12.33333,24,-0.08330952,-0.01522857,-0.09781694,-0.3550171,-0.07889689,-0.10473,Q_cms_dplt37
2996549,7312100,Wet,Seasonal,50,3150.386,0.066,343,37,0,12.3089,3,12.33333,24,-0.08332143,-0.01521071,-0.09782056,-0.3636575,-0.08110376,-0.1059333,Q_cms_dplt37
2996550,7312100,Wet,Seasonal,1,3157.25,0.052,343,37,0,12.1511,3,12.33333,24,-0.08309524,-0.01493214,-0.09748226,-0.3993911,-0.08925878,-0.1105405,Q_cms_dplt38
