,site,climscenario,pumpscenario,year,totalannualflow,lowest7dayperyear,lowest7dayperyearDOY,daysbelow0.1year,zeroflowcounts,totalbelow0.1year,totallowflowperiods,meanlowflowperiods,maxlowflowperiods,slope7,slope14,slope30,recess7,recess14,recess30,col
2648949,6881000,Dry,Constant,50,806.844,1.043,196,42,0,5.6536,3,14.0,15,-0.08686905,-0.07127857,-0.0716629,-0.06663856,-0.04808521,-0.03592309,Q_cms_dplt54
2648950,6881000,Dry,Constant,1,809.733,1.047,196,37,0,4.0897,3,12.33333,14,-0.08686905,-0.07136786,-0.07170524,-0.06643219,-0.04799941,-0.03585979,Q_cms_dplt55
2648999,6881000,Dry,Constant,50,805.384,1.039,196,38,0,4.3768,3,12.66667,14,-0.08686905,-0.07127857,-0.0716629,-0.06684623,-0.04821864,-0.03600054,Q_cms_dplt55
2649000,6881000,Dry,Constant,1,809.743,1.047,196,37,0,4.0897,3,12.33333,14,-0.08686905,-0.071375,-0.07170282,-0.06643219,-0.04800347,-0.03585841,Q_cms_dplt56
2649049,6881000,Dry,Constant,50,805.384,1.039,196,38,0,4.3768,3,12.66667,14,-0.08686905,-0.07127857,-0.0716629,-0.06684623,-0.04821864,-0.03600054,Q_cms_dplt56
2649050,6881000,Dry,Constant,1,810.96,1.05,196,37,0,4.0787,3,12.33333,14,-0.08686905,-0.07127857,-0.07168911,-0.06627826,-0.04785352,-0.0357969,Q_cms_dplt57
2649099,6881000,Dry,Constant,50,805.384,1.039,196,38,0,4.4528,3,12.66667,14,-0.08686905,-0.07127857,-0.0716629,-0.06684623,-0.04821864,-0.03600054,Q_cms_dplt57
2649100,6881000,Dry,Constant,1,822.265,1.073,196,37,0,4.0711,3,12.33333,14,-0.08686905,-0.071375,-0.07175887,-0.06512169,-0.04715836,-0.03538454,Q_cms_dplt58
2649149,6881000,Dry,Constant,50,806.479,1.042,196,40,0,5.163,3,13.33333,15,-0.08686905,-0.07127857,-0.0716629,-0.06669035,-0.0481185,-0.03594242,Q_cms_dplt58
2649150,6881000,Dry,Constant,1,816.117,1.06,196,37,0,4.0685,3,12.33333,14,-0.08686905,-0.07136786,-0.07173548,-0.06577033,-0.04757304,-0.03562158,Q_cms_dplt59
2649199,6881000,Dry,Constant,50,806.114,1.041,196,39,0,4.7405,3,13.0,15,-0.08686905,-0.07127857,-0.0716629,-0.06674223,-0.04815183,-0.03596177,Q_cms_dplt59
2649200,6881000,Dry,Constant,1,814.315,1.056,196,37,0,4.0855,3,12.33333,14,-0.08705952,-0.07135714,-0.07171855,-0.06609532,-0.04769436,-0.03568553,Q_cms_dplt60
2649249,6881000,Dry,Constant,50,805.749,1.04,196,39,0,4.6625,3,13.0,15,-0.08686905,-0.07127857,-0.0716629,-0.06679419,-0.04818521,-0.03598114,Q_cms_dplt60
2649250,6881000,Dry,Constant,1,828.0,1.085,196,37,0,4.0871,3,12.33333,14,-0.08705952,-0.07142143,-0.07180282,-0.06465483,-0.04679833,-0.03517116,Q_cms_dplt61
2649299,6881000,Dry,Constant,50,806.844,1.043,196,42,0,5.6116,3,14.0,15,-0.08686905,-0.07127857,-0.0716629,-0.06663856,-0.04808521,-0.03592309,Q_cms_dplt61
2649300,6881000,Dry,Constant,1,813.336,1.054,196,37,0,4.0795,3,12.33333,14,-0.08704762,-0.07134286,-0.07171008,-0.06618731,-0.0477481,-0.03571828,Q_cms_dplt62
2649349,6881000,Dry,Constant,50,805.749,1.04,196,39,0,4.5845,3,13.0,15,-0.08686905,-0.07127857,-0.0716629,-0.06679419,-0.04818521,-0.03598114,Q_cms_dplt62
2649350,6881000,Dry,Constant,1,809.95,1.048,196,37,0,4.0767,3,12.33333,14,-0.08686905,-0.07127857,-0.07166895,-0.0663808,-0.04791949,-0.0358286,Q_cms_dplt63
2649399,6881000,Dry,Constant,50,805.384,1.039,196,38,0,4.3768,3,12.66667,14,-0.08686905,-0.07127857,-0.0716629,-0.06684623,-0.04821864,-0.03600054,Q_cms_dplt63
2649400,6881000,Dry,Constant,1,815.627,1.059,196,37,0,4.0833,3,12.33333,14,-0.08686905,-0.07136786,-0.07172702,-0.06582077,-0.04760556,-0.03563746,Q_cms_dplt64
2649449,6881000,Dry,Constant,50,805.749,1.04,196,39,0,4.7561,3,13.0,15,-0.08686905,-0.07127857,-0.0716629,-0.06679419,-0.04818521,-0.03598114,Q_cms_dplt64
2649450,6881000,Dry,Constant,1,812.768,1.053,196,37,0,4.0825,3,12.33333,14,-0.08695238,-0.07137857,-0.07170282,-0.06617638,-0.04780781,-0.03574158,Q_cms_dplt65
2649499,6881000,Dry,Constant,50,805.749,1.04,196,39,0,4.5455,3,13.0,15,-0.08686905,-0.07127857,-0.0716629,-0.06679419,-0.04818521,-0.03598114,Q_cms_dplt65
2649500,6881000,Dry,Constant,1,808.615,1.045,196,37,0,4.0897,3,12.33333,14,-0.08686905,-0.07127857,-0.0717,-0.06653521,-0.04801878,-0.03589712,Q_cms_dplt66
2649549,6881000,Dry,Constant,50,805.384,1.039,196,38,0,4.3008,3,12.66667,14,-0.08686905,-0.07127857,-0.0716629,-0.06684623,-0.04821864,-0.03600054,Q_cms_dplt66
2649550,6881000,Dry,Constant,1,812.036,1.052,196,37,0,4.0915,3,12.33333,14,-0.08686905,-0.07127857,-0.07170887,-0.06617604,-0.04778775,-0.03576612,Q_cms_dplt67
2649599,6881000,Dry,Constant,50,805.749,1.04,196,39,0,4.5065,3,13.0,15,-0.08686905,-0.07127857,-0.0716629,-0.06679419,-0.04818521,-0.03598114,Q_cms_dplt67
2649600,6881000,Dry,Constant,1,807.433,1.043,196,37,0,4.0897,3,12.33333,14,-0.08686905,-0.07127857,-0.0716629,-0.06663856,-0.04808521,-0.03592309,Q_cms_dplt68
2649649,6881000,Dry,Constant,50,805.384,1.039,196,38,0,4.2248,3,12.66667,14,-0.08686905,-0.07127857,-0.0716629,-0.06684623,-0.04821864,-0.03600054,Q_cms_dplt68
2649650,6881000,Dry,Constant,1,807.422,1.043,196,37,0,4.0907,3,12.33333,14,-0.08686905,-0.07127857,-0.0716629,-0.06663856,-0.04808521,-0.03592309,Q_cms_dplt69
2649699,6881000,Dry,Constant,50,805.384,1.039,196,38,0,4.2248,3,12.66667,14,-0.08686905,-0.07127857,-0.0716629,-0.06684623,-0.04821864,-0.03600054,Q_cms_dplt69
2649700,6881000,Dry,Constant,1,805.694,1.039,196,37,0,4.0979,3,12.33333,14,-0.08686905,-0.07130357,-0.07171089,-0.06684623,-0.04823123,-0.03601741,Q_cms_dplt70
2649749,6881000,Dry,Constant,50,805.019,1.038,196,37,0,4.1349,3,12.33333,14,-0.08686905,-0.07127857,-0.0716629,-0.06689835,-0.04825212,-0.03601995,Q_cms_dplt70
