site,record_length_yr
2419890,14.243835616438357
2423130,18.898630136986302
2423380,12.150684931506849
2423397,12.457534246575342
2423496,32.37534246575343
2455980,32.25753424657534
2457595,32.52876712328767
2458450,29.904109589041095
15056210,8.501369863013698
15081497,15.457534246575342
15085100,15.745205479452055
15106920,1.9917808219178081
15106980,5.35068493150685
15200000,1.8082191780821917
15200280,1.5287671232876712
15241600,0.4904109589041096
15258000,11.112328767123287
15261000,22.043835616438358
15266110,2.9753424657534246
15266300,6.895890410958904
15272380,1.9972602739726026
15274000,1.6027397260273972
15291000,0.4986301369863014
15294005,1.5452054794520549
15297610,9.219178082191782
15564879,0.7698630136986301
15803000,0.6082191780821918
15896000,0.31232876712328766
7056515,16.794520547945204
7060500,7.750684931506849
7076000,3.8164383561643835
7257500,0.9945205479452055
7362693,5.345205479452055
7364133,5.64931506849315
10261500,15.295890410958904
10263500,5.23013698630137
10265150,13.504109589041096
10336580,4.7972602739726025
103366092,3.706849315068493
10336610,6.473972602739726
10336645,6.2
10336660,6.189041095890411
10336676,6.208219178082191
10336770,5.997260273972603
10336775,4.545205479452055
10336780,6.493150684931507
10337500,4.704109589041096
10338000,5.16986301369863
10338700,1.989041095890411
10340500,4.8493150684931505
10343500,20.421917808219177
10344500,5.432876712328767
10346000,5.23013698630137
11022500,8.898630136986302
11042000,2.789041095890411
11044000,15.868493150684932
11044300,3.1452054794520548
11046000,0.4438356164383562
11046500,1.4794520547945205
11046530,0.4383561643835616
11047000,0.9260273972602739
11047300,3.9287671232876713
11048500,9.282191780821918
11057000,1.2328767123287672
11060400,2.9452054794520546
11066460,1.8767123287671232
11073495,1.9452054794520548
11074000,37.66301369863014
11078000,2.3753424657534246
11103000,3.3315068493150686
11105850,4.917808219178082
11108500,1.5753424657534247
11109000,2.9643835616438357
11110500,0.6712328767123288
11111500,16.649315068493152
11113000,1.6958904109589041
11113500,1.7123287671232876
11114000,2.863013698630137
11117500,0.7123287671232876
11118500,3.7424657534246575
11119745,0.40821917808219177
11120510,0.3643835616438356
11125600,10.931506849315069
11126000,7.928767123287671
11128500,8.791780821917808
11132500,2.03013698630137
11133000,4.3561643835616435
11136100,1.821917808219178
11141000,0.14794520547945206
11141150,3.6054794520547944
11141280,3.8876712328767122
11143000,13.378082191780821
11147070,0.536986301369863
11148900,0.4383561643835616
11149900,0.5808219178082191
11151870,8.523287671232877
11152300,2.2904109589041095
11152500,1.2876712328767124
11153470,1.441095890410959
11153900,4.306849315068493
11154700,2.9808219178082194
11159000,2.128767123287671
11160000,8.312328767123288
11160300,3.6054794520547944
11160500,10.167123287671233
11162500,10.342465753424657
11162720,4.416438356164384
11169025,3.56986301369863
11169800,1.7315068493150685
11172175,2.8767123287671232
11173575,13.498630136986302
11176400,0.6904109589041096
11176500,9.895890410958904
11176600,1.126027397260274
