COMID,siteID,WellWaterDepth_m,NearestFlowlineDistance_m,NearStreamPtNED30mElv_masl,BankHeight_m,WellDepth_m,Width_m,latitude,longitude,Date,WellNED30mElv_masl,bank_corrected_head_difference_m
13755013, 5195535, 4.89, 752.67, 606.56, 0.54, 21.03, 7.46, 35.406205, -99.610853, -1.0000, 623.46, 12.55
682235, 1048485, 10.39, 815.65, 437.00, 0.51, 36.58, 5.85, 35.420429, -98.376033, 1907.0028, 454.97, 8.09
418277, 5193899, 4.50, 519.60, 245.78, 2.83, 10.97, 78.24, 35.449138, -96.422388, 1982.5917, 245.78, -1.67
13755139, 5194103, 14.34, 860.77, 652.62, 0.56, 48.77, 6.78, 35.400303, -99.489850, 1970.9250, 671.03, 4.63
683373, 5194145, 15.05, 434.54, 472.31, 0.66, 99.67, 6.63, 35.417685, -98.664003, 1966.3333, 492.97, 6.27
6025648, 5194173, 13.56, 213.74, 479.44, 0.00, 53.95, 0.00, 35.424634, -98.249052, 1965.3194, 488.52, -4.48
415447, 5194410, 27.01, 703.85, 380.16, 0.63, 54.86, 5.75, 35.437858, -97.333391, 1995.8139, 395.69, -10.85
556885, 5194475, 3.30, 606.60, 597.48, 0.58, 48.77, 6.33, 35.408338, -99.328003, 1999.6889, 602.04, 1.84
539663, 5194481, 41.21, 560.02, 310.07, 0.61, 79.25, 6.00, 35.446277, -97.001615, 1999.8639, 328.53, -22.14
13755133, 5194652, 7.83, 212.44, 647.23, 0.62, 40.23, 8.41, 35.402010, -99.540600, 2005.2472, 654.41, -0.03
13755065, 5194664, 14.14, 278.31, 673.84, 0.49, 66.45, 6.29, 35.403040, -99.506060, 2005.3611, 672.95, -14.54
680821, 5194909, 2.96, 905.82, 548.46, 0.51, 37.49, 5.89, 35.407990, -99.232130, 2009.0028, 553.53, 2.62
6025648, 5195036, 15.06, 369.71, 477.56, 0.00, 41.15, 0.00, 35.428225, -98.254036, 2012.8556, 487.66, -4.96
556879, 5195130, 2.80, 259.41, 610.81, 0.51, 28.04, 6.30, 35.397130, -99.453020, 2011.7194, 616.33, 3.23
682275, 5195215, 9.00, 481.58, 473.74, 0.64, 21.34, 6.45, 35.421087, -98.621556, 1908.0028, 479.71, -2.39
682227, 5195253, 18.26, 466.94, 464.30, 0.68, 30.45, 6.18, 35.422703, -98.617312, -1.0000, 486.36, 4.48
683707, 5195371, 6.86, 847.15, 483.82, 0.43, 34.63, 6.21, 35.421088, -98.641609, -1.0000, 497.45, 7.20
683709, 5195383, 21.98, 476.72, 486.21, 0.49, 30.48, 5.88, 35.420938, -98.557189, 1908.0028, 501.62, -6.08
680823, 5195563, 5.85, 490.42, 573.68, 0.42, 24.38, 5.84, 35.407197, -99.285831, -1.0000, 581.85, 2.74
682275, 5194146, 17.83, 619.36, 469.76, 0.64, 98.76, 6.45, 35.410869, -98.628937, 1955.3194, 485.48, -1.47
558095, 5194342, 4.68, 658.26, 584.24, 0.56, 29.57, 6.29, 35.392918, -99.359678, 1995.9083, 596.27, 7.91
415443, 5194467, 7.04, 617.77, 356.31, 0.58, 60.96, 5.32, 35.436425, -97.240895, 1998.8972, 362.53, -0.24
13755105, 5194489, 3.74, 90.23, 628.69, 0.50, 17.37, 8.06, 35.367633, -99.914283, 2000.3583, 630.66, -1.27
556877, 5194532, 3.01, 7.49, 579.42, 0.55, 30.48, 6.83, 35.391894, -99.409650, 2003.1222, 579.49, -2.39
682303, 5195067, 17.82, 731.53, 483.67, 0.60, 30.45, 6.38, 35.408226, -98.572865, -1.0000, 489.36, -11.53
682263, 5195111, 14.58, 428.29, 439.27, 0.86, 52.43, 10.47, 35.406240, -98.857120, 1908.0028, 455.27, 2.28
682273, 5195164, 3.82, 181.81, 457.33, 0.72, 16.46, 6.33, 35.408460, -98.606464, 2013.0694, 460.77, 0.34
682275, 5195282, 7.12, 328.16, 462.05, 0.64, 32.31, 6.45, 35.406818, -98.621289, 2013.0694, 467.67, -0.86
680895, 5195449, 6.76, 201.79, 551.68, 0.56, 21.95, 5.93, 35.390907, -99.222573, -1.0000, 561.06, 3.18
680831, 5195480, 5.41, 743.86, 572.72, 0.51, 12.19, 5.67, 35.393325, -99.273636, -1.0000, 584.77, 7.15
680853, 5195493, 1.72, 498.49, 542.51, 0.48, 18.59, 5.85, 35.397150, -99.134533, 2014.9500, 540.43, -3.32
680929, 5195558, 5.09, 72.26, 551.86, 0.43, 13.11, 5.63, 35.387984, -99.169431, -1.0000, 551.75, -4.77
682265, 1048314, 27.16, 646.34, 451.22, 0.61, 85.34, 6.51, 35.394609, -98.510345, 1982.3444, 479.26, 1.49
417859, 1048414, 3.19, 350.83, 271.40, 2.82, 13.72, 78.78, 35.419738, -96.702514, 1982.5222, 274.75, 2.98
681229, 5194093, 12.81, 290.10, 565.77, 0.52, 35.66, 5.80, 35.383073, -99.240277, 1983.5750, 581.03, 2.97
680877, 5194101, 6.34, 744.24, 588.46, 0.44, 48.77, 5.72, 35.379552, -99.257648, 1966.5861, 594.80, 0.44
682293, 5194320, 17.83, 209.03, 484.56, 0.65, 67.36, 6.70, 35.395161, -98.767888, 1993.2222, 484.72, -17.02
556925, 5194513, 6.53, 249.63, 567.29, 0.74, 24.08, 0.03, 35.373734, -99.345822, 2001.9556, 573.66, 0.58
6025074, 5194559, 3.90, 633.85, 394.16, 0.68, 16.76, 0.07, 35.405011, -98.035794, 2002.9250, 394.91, -2.47
