,site,climscenario,pumpscenario,year,season,totalseasonalflow,lowest7dayperseason,lowest7dayperseasonDOY,daysbelow0.1seasonal,zeroflowcountsseasonal,totalbelow0.1seasonal,col
10138202,6036905,Dry,Seasonal,1,summer,566.465,5.878,235,37,0,2.6747,Q_cms_dplt90
10138203,6036905,Dry,Seasonal,1,winter,598.423,6.485,30,0,0,0.0,Q_cms_dplt90
10138396,6036905,Dry,Seasonal,50,fall,563.937,5.945,338,17,0,0.7167,Q_cms_dplt90
10138397,6036905,Dry,Seasonal,50,spring,701.539,6.308,181,0,0,0.0,Q_cms_dplt90
10138398,6036905,Dry,Seasonal,50,summer,541.447,5.61,231,72,0,16.9472,Q_cms_dplt90
10138399,6036905,Dry,Seasonal,50,winter,563.86,6.088,30,0,0,0.0,Q_cms_dplt90
10138400,6036905,Dry,Seasonal,1,fall,598.766,6.317,338,0,0,0.0,Q_cms_dplt91
10138401,6036905,Dry,Seasonal,1,spring,730.879,6.625,181,0,0,0.0,Q_cms_dplt91
10138402,6036905,Dry,Seasonal,1,summer,573.977,5.968,230,37,0,2.0587,Q_cms_dplt91
10138403,6036905,Dry,Seasonal,1,winter,598.423,6.485,30,0,0,0.0,Q_cms_dplt91
10138596,6036905,Dry,Seasonal,50,fall,571.184,6.022,338,15,0,0.6405,Q_cms_dplt91
10138597,6036905,Dry,Seasonal,50,spring,698.839,6.286,181,0,0,0.0,Q_cms_dplt91
10138598,6036905,Dry,Seasonal,50,summer,544.041,5.644,230,75,0,19.6645,Q_cms_dplt91
10138599,6036905,Dry,Seasonal,50,winter,565.125,6.113,30,0,0,0.0,Q_cms_dplt91
10138600,6036905,Dry,Seasonal,1,fall,573.619,6.018,283,0,0,0.0,Q_cms_dplt92
10138601,6036905,Dry,Seasonal,1,spring,726.999,6.455,181,0,0,0.0,Q_cms_dplt92
10138602,6036905,Dry,Seasonal,1,summer,547.679,5.661,235,37,0,3.0723,Q_cms_dplt92
10138603,6036905,Dry,Seasonal,1,winter,598.423,6.485,30,0,0,0.0,Q_cms_dplt92
10138796,6036905,Dry,Seasonal,50,fall,558.735,5.847,283,0,0,0.0,Q_cms_dplt92
10138797,6036905,Dry,Seasonal,50,spring,705.696,6.246,181,0,0,0.0,Q_cms_dplt92
10138798,6036905,Dry,Seasonal,50,summer,530.203,5.475,235,60,0,12.207,Q_cms_dplt92
10138799,6036905,Dry,Seasonal,50,winter,570.076,6.139,4,0,0,0.0,Q_cms_dplt92
10138800,6036905,Dry,Seasonal,1,fall,599.818,6.33,338,0,0,0.0,Q_cms_dplt93
10138801,6036905,Dry,Seasonal,1,spring,730.881,6.626,181,0,0,0.0,Q_cms_dplt93
10138802,6036905,Dry,Seasonal,1,summer,574.3,5.972,230,37,0,2.0307,Q_cms_dplt93
10138803,6036905,Dry,Seasonal,1,winter,598.423,6.485,30,0,0,0.0,Q_cms_dplt93
10138996,6036905,Dry,Seasonal,50,fall,571.796,6.03,338,15,0,0.5845,Q_cms_dplt93
10138997,6036905,Dry,Seasonal,50,spring,698.901,6.285,181,0,0,0.0,Q_cms_dplt93
10138998,6036905,Dry,Seasonal,50,summer,544.094,5.644,230,75,0,19.8195,Q_cms_dplt93
10138999,6036905,Dry,Seasonal,50,winter,565.629,6.119,30,0,0,0.0,Q_cms_dplt93
10139000,6036905,Dry,Seasonal,1,fall,580.378,6.132,338,0,0,0.0,Q_cms_dplt94
10139001,6036905,Dry,Seasonal,1,spring,729.853,6.565,181,0,0,0.0,Q_cms_dplt94
10139002,6036905,Dry,Seasonal,1,summer,560.58,5.808,235,37,0,2.9865,Q_cms_dplt94
10139003,6036905,Dry,Seasonal,1,winter,598.423,6.485,30,0,0,0.0,Q_cms_dplt94
10139196,6036905,Dry,Seasonal,50,fall,561.105,5.928,338,12,0,0.288,Q_cms_dplt94
10139197,6036905,Dry,Seasonal,50,spring,703.439,6.302,181,0,0,0.0,Q_cms_dplt94
10139198,6036905,Dry,Seasonal,50,summer,538.308,5.57,235,69,0,15.4035,Q_cms_dplt94
10139199,6036905,Dry,Seasonal,50,winter,565.385,6.098,4,0,0,0.0,Q_cms_dplt94
10139200,6036905,Dry,Seasonal,1,fall,591.92,6.238,338,0,0,0.0,Q_cms_dplt95
10139201,6036905,Dry,Seasonal,1,spring,730.803,6.619,181,0,0,0.0,Q_cms_dplt95
10139202,6036905,Dry,Seasonal,1,summer,570.863,5.932,231,37,0,2.3121,Q_cms_dplt95
10139203,6036905,Dry,Seasonal,1,winter,598.423,6.485,30,0,0,0.0,Q_cms_dplt95
10139396,6036905,Dry,Seasonal,50,fall,567.298,5.976,339,17,0,0.8311,Q_cms_dplt95
10139397,6036905,Dry,Seasonal,50,spring,699.802,6.3,181,0,0,0.0,Q_cms_dplt95
10139398,6036905,Dry,Seasonal,50,summer,543.282,5.634,230,73,0,18.2819,Q_cms_dplt95
10139399,6036905,Dry,Seasonal,50,winter,563.559,6.089,30,0,0,0.0,Q_cms_dplt95
10139400,6036905,Dry,Seasonal,1,fall,575.399,6.068,283,0,0,0.0,Q_cms_dplt96
10139401,6036905,Dry,Seasonal,1,spring,728.241,6.498,181,0,0,0.0,Q_cms_dplt96
10139402,6036905,Dry,Seasonal,1,summer,552.286,5.713,235,37,0,3.0805,Q_cms_dplt96
10139403,6036905,Dry,Seasonal,1,winter,598.423,6.485,30,0,0,0.0,Q_cms_dplt96
10139596,6036905,Dry,Seasonal,50,fall,559.088,5.881,283,1,0,0.0025,Q_cms_dplt96
10139597,6036905,Dry,Seasonal,50,spring,705.188,6.271,181,0,0,0.0,Q_cms_dplt96
10139598,6036905,Dry,Seasonal,50,summer,533.225,5.509,235,62,0,13.277,Q_cms_dplt96
10139599,6036905,Dry,Seasonal,50,winter,568.283,6.121,4,0,0,0.0,Q_cms_dplt96
10139600,6036905,Dry,Seasonal,1,fall,594.81,6.27,339,0,0,0.0,Q_cms_dplt97
