GAGE_ID,iter,dist_m,S,Tr_m2d,eq_yrs_constant,eq_yrs_seasonal,Qf_100yrs_constant
08181500,1,539.07,0.06,264.199951171875,7,7,0.966
08181500,2,589.12,0.06,498.8924560546875,6,6,0.973
08181500,3,260.49,0.06,9.370455741882324,13,13,0.913
08181500,4,154.22,0.06,162.28872680664062,4,4,0.988
08181500,5,351.14,0.06,13.998907089233398,13,13,0.904
08181500,6,481.16,0.06,9.7418794631958,19,19,0.843
08181500,7,389.28,0.06,413.08062744140625,5,5,0.98
08181500,8,774.27,0.06,287.4421081542969,9,9,0.953
08181500,9,569.22,0.06,21.835783004760746,16,16,0.876
08181500,10,771.92,0.06,231.87130737304688,9,9,0.948
08181500,11,339.98,0.06,53.58683013916016,9,9,0.953
08181500,12,697.34,0.06,20.37289047241211,19,19,0.843
08181500,13,25.44,0.06,41.13848876953125,3,3,0.996
08181500,14,572.57,0.06,9.932171821594238,21,21,0.816
08181500,15,131.24,0.27,22.90506172180176,10,10,0.941
08181500,16,724.26,0.06,48.4794921875,14,14,0.894
08181500,17,603.63,0.06,4251.1865234375,4,4,0.991
08181500,18,961.28,0.06,96.779632568359375,14,14,0.9
08181500,19,26.84,0.06,17.421180725097656,3,3,0.993
08181500,20,431.7,0.06,22.902734756469727,13,13,0.908
08181500,21,737.4,0.06,132.2526092529297,10,11,0.934
08181500,22,786.53,0.06,20.20881462097168,20,20,0.823
08181500,23,189.41,0.06,22.100847244262695,8,8,0.959
08181500,24,646.51,0.06,22.606420516967773,17,17,0.862
08181500,25,624.04,0.06,7729.15380859375,4,4,0.993
08181500,26,180.73,0.06,18.36656951904297,8,8,0.957
08181500,27,162.53,0.06,16.9427490234375,8,8,0.96
08181500,28,9.64,0.12,234.41043090820312,2,2,0.999
08181500,29,132.13,0.06,22.908031463623047,6,6,0.972
08181500,30,55.15,0.06,161.5104522705078,3,3,0.996
08181500,31,935.02,0.06,15.234376907348633,26,25,0.759
08181500,32,563.49,0.06,233.93785095214844,8,8,0.962
08181500,33,227.62,0.06,16.200105667114258,10,10,0.942
08181500,34,47.31,0.06,22.83932876586914,4,4,0.99
08181500,35,95.14,0.06,13221.091796875,2,2,0.999
08181500,36,53.37,0.06,12.724980354309082,5,5,0.985
08181500,37,39.16,0.06,407.6379699707031,3,2,0.998
08181500,38,84.14,0.06,21.720155715942383,5,5,0.982
08181500,39,122.56,0.06,193.07595825195312,4,4,0.991
08181500,40,697.47,0.06,7.744733810424805,27,27,0.748
08181500,41,891.85,0.22,78.742218017578125,22,22,0.805
08181500,42,724.59,0.06,124.87452697753906,11,11,0.934
08181500,43,182.49,0.06,16.702665328979492,8,8,0.954
08181500,44,76.42,0.06,21.81837272644043,5,5,0.983
08181500,45,149.66,0.06,46.80398178100586,6,6,0.978
08181500,46,104.03,0.12,4116.79248046875,3,3,0.998
08181500,47,264.12,0.06,301.2962646484375,5,5,0.984
08181500,48,37.91,0.28,14672.384765625,2,2,0.999
08181500,49,470.39,0.06,5195.3271484375,3,3,0.993
08181500,50,1007.24,0.06,147.07366943359375,12,12,0.915
08181500,51,54.69,0.06,130.97235107421875,3,3,0.995
08181500,52,200.71,0.06,243.0955047607422,4,4,0.987
08181500,53,159.1,0.27,21.405574798583984,11,11,0.925
08181500,54,645.12,0.06,9316.3466796875,3,3,0.993
08181500,55,393.64,0.06,3788.438720703125,3,3,0.993
08181500,56,384.51,0.06,14897.025390625,3,3,0.997
08181500,57,504.56,0.06,22.402042388916016,15,15,0.891
08181500,58,583.62,0.06,226.57562255859375,8,8,0.96
08181500,59,362.62,0.06,98.16868591308594,8,8,0.963
08181500,60,153.18,0.06,1.957515239715576,15,15,0.888
08181500,61,690.77,0.06,246.20672607421875,8,8,0.955
08181500,62,502.33,0.22,469.7936096191406,8,8,0.955
08181500,63,597.64,0.27,4280.86279296875,5,5,0.98
08181500,64,944.71,0.06,21.08158493041992,23,23,0.792
08181500,65,135.39,0.06,22.74304962158203,7,7,0.971
08181500,66,110.46,0.06,22.16484260559082,6,6,0.976
08181500,67,512.98,0.06,14166.7861328125,3,3,0.996
08181500,68,213.42,0.06,223.6579742431641,5,5,0.985
08181500,69,193.79,0.06,13.946149826049805,9,9,0.947
08181500,70,45.78,0.06,21.753820419311523,4,4,0.99
08181500,71,21.05,0.06,46.767730712890625,3,3,0.997
08181500,72,810.72,0.06,243.8938751220703,9,9,0.947
08181500,73,610.01,0.06,213.6719207763672,8,8,0.957
08181500,74,392.32,0.06,161.76519775390625,7,7,0.968
08181500,75,63.75,0.06,20.22083854675293,5,5,0.985
08181500,76,114.26,0.06,22.926443099975582,6,6,0.976
08181500,77,195.66,0.27,164.15325927734375,7,7,0.967
08181500,78,840.91,0.06,22.644437789916992,21,21,0.821
08181500,79,105.21,0.06,222.26429748535156,4,4,0.993
08181500,80,211.82,0.06,333.1708679199219,4,4,0.988
08181500,81,171.04,0.06,22.90455436706543,7,7,0.963
08181500,82,743.28,0.06,315.1878662109375,8,8,0.957
08181500,83,98.63,0.06,249.83204650878903,3,3,0.994
08181500,84,203.64,0.06,13.86706829071045,9,10,0.944
08181500,85,35.39,0.06,3225.279052734375,2,2,0.999
08181500,86,384.83,0.06,10679.5654296875,3,3,0.996
08181500,87,17.01,0.06,29.5689754486084,3,3,0.997
08181500,88,7.99,0.06,14.104406356811523,3,3,0.998
08181500,89,180.11,0.06,11476.6025390625,3,2,0.998
08181500,90,422.11,0.06,21.635591506958008,13,13,0.907
08181500,91,622.51,0.06,118.4517593383789,10,10,0.942
08181500,92,557.57,0.06,20.553768157958984,16,16,0.875
08181500,93,212.48,0.06,133.46986389160156,5,5,0.981
08181500,94,252.15,0.06,14.810791015625,11,11,0.933
08181500,95,324.86,0.06,293.5821533203125,5,5,0.981
08181500,96,288.6,0.06,361.26171875,5,5,0.984
08181500,97,706.36,0.06,4.713016510009766,32,32,0.677
08181500,98,286.35,0.06,344.75006103515625,5,5,0.984
08181500,99,424.83,0.06,4934.27880859375,3,3,0.994
08181500,100,102.78,0.06,9949.40234375,2,2,0.999
