GAGE_ID,iter,dist_m,S,Tr_m2d,eq_yrs_constant,eq_yrs_seasonal,Qf_100yrs_constant
11325500,1,539.07,0.22,3.698983430862427,48,48,0.491
11325500,2,589.12,0.01,16.817420959472656,10,10,0.94
11325500,3,260.49,0.22,2.9838266372680664,29,30,0.711
11325500,4,154.22,0.22,7.530401229858398,15,15,0.89
11325500,5,351.14,0.01,1.5447134971618652,15,15,0.882
11325500,6,481.16,0.22,0.04317014291882515,Inf,Inf,0
11325500,7,389.28,0.22,3.5942206382751465,38,37,0.614
11325500,8,774.27,0.22,8.16701889038086,47,47,0.506
11325500,9,569.22,0.22,8.38218879699707,36,36,0.629
11325500,10,771.92,0.22,0.8596813678741455,20,22,0.041
11325500,11,339.98,0.22,16.47135353088379,19,19,0.837
11325500,12,697.34,0.22,2.235255241394043,Inf,Inf,0.252
11325500,13,25.44,0.22,1356.1744384765625,3,2,0.999
11325500,14,572.57,0.22,17.020017623901367,28,28,0.733
11325500,15,131.24,0.27,1.9669309854507449,22,22,0.799
11325500,16,724.26,0.22,7.417404651641846,46,46,0.514
11325500,17,603.63,0.22,0.8059033751487732,Inf,16,0.099
11325500,18,961.28,0.01,5.069131374359131,20,20,0.823
11325500,19,26.84,0.22,0.713930070400238,10,10,0.938
11325500,20,431.7,0.22,1278.5977783203125,6,6,0.976
11325500,21,737.4,0.22,16.643003463745117,34,33,0.657
11325500,22,786.53,0.12,1375.0501708984375,7,7,0.969
11325500,23,189.41,0.01,10.7225341796875,6,6,0.976
11325500,24,646.51,0.22,4.473156452178955,Inf,Inf,0.453
11325500,25,624.04,0.22,1387.2147216796875,7,7,0.967
11325500,26,180.73,0.22,5.753373146057129,18,18,0.853
11325500,27,162.53,0.22,0.29806187748908997,50,50,0.465
11325500,28,9.64,0.27,9.734661102294922,3,3,0.993
11325500,29,132.13,0.22,3.667897939682007,17,17,0.865
11325500,30,55.15,0.01,4.0712103843688965,4,4,0.989
11325500,31,935.02,0.22,0.40232935547828674,Inf,Inf,0
11325500,32,563.49,0.22,9.631237983703612,34,34,0.656
11325500,33,227.62,0.22,0.679186224937439,47,47,0.498
11325500,34,47.31,0.22,3.86220908164978,9,9,0.953
11325500,35,95.14,0.01,2.717634677886963,6,6,0.976
11325500,36,53.37,0.01,3.7952706813812256,4,4,0.989
11325500,37,39.16,0.22,8.6617431640625,6,6,0.974
11325500,38,84.14,0.22,4.079957962036133,12,12,0.919
11325500,39,122.56,0.22,0.9532601833343506,26,26,0.758
11325500,40,697.47,0.22,3.225858449935913,Inf,Inf,0.34
11325500,41,891.85,0.09,1181.72314453125,7,7,0.968
11325500,42,724.59,0.01,4.624743461608887,17,17,0.86
11325500,43,182.49,0.01,0.518153965473175,14,14,0.894
11325500,44,76.42,0.22,5.770448207855225,10,10,0.938
11325500,45,149.66,0.22,12.190675735473633,12,12,0.916
11325500,46,104.03,0.27,16.582931518554688,9,9,0.945
11325500,47,264.12,0.01,2.7702577114105225,11,11,0.934
11325500,48,37.91,0.09,9.371251106262209,5,5,0.984
11325500,49,470.39,0.01,15.31813907623291,9,9,0.95
11325500,50,1007.24,0.01,9.491435050964355,17,17,0.864
11325500,51,54.69,0.22,0.102360337972641,32,33,0.675
11325500,52,200.71,0.01,107.6856918334961,4,4,0.992
11325500,53,159.1,0.27,6.646406650543213,17,17,0.867
11325500,54,645.12,0.22,4.064454555511475,Inf,Inf,0.432
11325500,55,393.64,0.22,1312.252197265625,6,6,0.979
11325500,56,384.51,0.01,6.647721290588379,10,10,0.938
11325500,57,504.56,0.22,12.779577255249023,28,29,0.729
11325500,58,583.62,0.22,4.64422607421875,47,47,0.506
11325500,59,362.62,0.22,9.917325973510742,24,24,0.777
11325500,60,153.18,0.22,3.221646785736084,19,20,0.834
11325500,61,690.77,0.01,5.7077317237854,16,16,0.88
11325500,62,502.33,0.09,5.382530212402344,28,28,0.734
11325500,63,597.64,0.27,10.836612701416016,37,36,0.621
11325500,64,944.71,0.22,5.789017677307129,Inf,Inf,0.335
11325500,65,135.39,0.22,1.6771060228347778,23,23,0.797
11325500,66,110.46,0.22,16.586732864379883,9,9,0.947
11325500,67,512.98,0.01,14.341423034667969,10,10,0.943
11325500,68,213.42,0.22,3.9027559757232666,23,23,0.791
11325500,69,193.79,0.22,1.5041424036026,31,30,0.698
11325500,70,45.78,0.22,7.9307966232299805,7,7,0.968
11325500,71,21.05,0.22,6.300529479980469,5,5,0.984
11325500,72,810.72,0.01,0.2997380793094635,Inf,Inf,0.438
11325500,73,610.01,0.22,10.399662017822266,35,35,0.642
11325500,74,392.32,0.22,4.687335968017578,34,34,0.656
11325500,75,63.75,0.01,0.7367571592330933,7,7,0.969
11325500,76,114.26,0.22,0.10136496275663376,Inf,Inf,0.378
11325500,77,195.66,0.27,0.879268229007721,41,41,0.57
11325500,78,840.91,0.22,7.383849143981934,Inf,Inf,0.447
11325500,79,105.21,0.01,16.750797271728516,4,4,0.989
11325500,80,211.82,0.22,15.901020050048828,14,14,0.896
11325500,81,171.04,0.01,16.725433349609375,5,5,0.983
11325500,82,743.28,0.22,6.53476619720459,49,49,0.475
11325500,83,98.63,0.22,1.155804991722107,20,21,0.822
11325500,84,203.64,0.22,0.2723499536514282,Inf,Inf,0.338
11325500,85,35.39,0.01,3.5909485816955566,4,4,0.992
11325500,86,384.83,0.22,5.786038875579834,31,31,0.694
11325500,87,17.01,0.01,16.58283042907715,3,2,0.998
11325500,88,7.99,0.01,0.8262344598770142,3,3,0.996
11325500,89,180.11,0.22,16.70477867126465,12,12,0.914
11325500,90,422.11,0.01,16.727935791015625,8,8,0.957
11325500,91,622.51,0.01,17.269794464111328,10,10,0.938
11325500,92,557.57,0.22,3.7992684841156006,48,49,0.483
11325500,93,212.48,0.22,3.390972852706909,24,24,0.777
11325500,94,252.15,0.22,13.43612289428711,17,17,0.866
11325500,95,324.86,0.12,24.78752326965332,13,13,0.906
11325500,96,288.6,0.22,2.4405477046966553,34,34,0.65
