GAGE_ID,iter,dist_m,S,Tr_m2d,eq_yrs_constant,eq_yrs_seasonal,Qf_100yrs_constant
04137005,1,539.07,0.19,151.9553985595703,12,12,0.921
04137005,2,589.12,0.12,5.091328144073486,36,36,0.636
04137005,3,260.49,0.19,93.14842224121094,9,9,0.951
04137005,4,154.22,0.19,232.2474365234375,5,5,0.982
04137005,5,351.14,0.12,240.62730407714844,7,7,0.967
04137005,6,481.16,0.19,1.617691993713379,Inf,Inf,0.388
04137005,7,389.28,0.19,143.72994995117187,10,10,0.941
04137005,8,774.27,0.19,189.227783203125,14,14,0.898
04137005,9,569.22,0.19,232.79627990722656,11,11,0.932
04137005,10,771.92,0.19,221.55369567871097,13,13,0.906
04137005,11,339.98,0.19,155.0587615966797,9,9,0.95
04137005,12,697.34,0.19,232.0814666748047,12,12,0.917
04137005,13,25.44,0.19,172.7776336669922,3,3,0.996
04137005,14,572.57,0.19,6.4610724449157715,38,38,0.607
04137005,15,131.24,0.06,221.7407989501953,4,4,0.991
04137005,16,724.26,0.19,218.14955139160156,13,13,0.911
04137005,17,603.63,0.19,224.6844482421875,11,11,0.927
04137005,18,961.28,0.12,227.45504760742187,13,13,0.908
04137005,19,26.84,0.19,64.50054168701172,3,3,0.994
04137005,20,431.7,0.19,168.25225830078125,10,10,0.939
04137005,21,737.4,0.19,232.15328979492187,13,13,0.912
04137005,22,786.53,0.12,233.0357360839844,11,11,0.926
04137005,23,189.41,0.12,232.53253173828125,5,5,0.982
04137005,24,646.51,0.19,145.7480926513672,13,14,0.903
04137005,25,624.04,0.19,179.50796508789062,12,12,0.915
04137005,26,180.73,0.19,232.18609619140625,6,6,0.978
04137005,27,162.53,0.19,4.857325077056885,17,17,0.866
04137005,28,9.64,0.06,36.13979721069336,3,2,0.998
04137005,29,132.13,0.19,210.63702392578125,5,5,0.983
04137005,30,55.15,0.12,62.4244499206543,4,4,0.99
04137005,31,935.02,0.19,219.9297332763672,15,15,0.886
04137005,32,563.49,0.19,138.07640075683594,13,13,0.913
