GAGE_ID,iter,dist_m,S,Tr_m2d,eq_yrs_constant,eq_yrs_seasonal,Qf_100yrs_constant
01447800,1,539.07,0.19,44.92597961425781,18,18,0.854
01447800,2,589.12,0.27,20.144269943237305,29,29,0.721
01447800,3,260.49,0.19,20.11163330078125,14,14,0.895
01447800,4,154.22,0.19,20.149110794067383,10,10,0.938
01447800,5,351.14,0.27,20.151355743408203,20,20,0.832
01447800,6,481.16,0.19,20.23819923400879,22,22,0.807
01447800,7,389.28,0.19,20.168100357055664,19,19,0.843
01447800,8,774.27,0.19,20.113039016723633,31,30,0.694
01447800,9,569.22,0.19,20.099836349487305,25,25,0.772
01447800,10,771.92,0.19,18.80099868774414,32,32,0.685
01447800,11,339.98,0.19,20.127975463867188,17,17,0.863
01447800,12,697.34,0.19,18.038963317871097,30,30,0.708
01447800,13,25.44,0.19,20.12197494506836,4,4,0.99
01447800,14,572.57,0.19,18.141258239746097,26,26,0.759
01447800,15,131.24,0.27,19.039947509765625,10,10,0.935
01447800,16,724.26,0.19,15.823359489440918,32,32,0.678
01447800,17,603.63,0.19,20.122268676757812,26,26,0.759
01447800,18,961.28,0.27,15.913543701171877,46,46,0.512
01447800,19,26.84,0.19,19.24028587341309,4,4,0.989
01447800,20,431.7,0.19,19.892871856689453,20,20,0.825
01447800,21,737.4,0.19,20.123655319213867,30,30,0.708
01447800,22,786.53,0.27,20.12368392944336,36,36,0.633
01447800,23,189.41,0.27,20.128847122192383,13,13,0.909
01447800,24,646.51,0.19,19.283857345581055,27,28,0.737
01447800,25,624.04,0.19,19.78938102722168,26,26,0.749
01447800,26,180.73,0.19,20.130247116088867,11,11,0.927
01447800,27,162.53,0.19,20.180252075195312,10,10,0.934
01447800,28,9.64,0.27,20.084056854248047,3,3,0.995
01447800,29,132.13,0.19,20.114288330078125,9,9,0.946
01447800,30,55.15,0.27,19.93082046508789,6,6,0.973
01447800,31,935.02,0.19,20.160219192504883,36,35,0.635
01447800,32,563.49,0.19,16.516321182250977,26,27,0.752
01447800,33,227.62,0.19,44.251426696777344,10,10,0.938
01447800,34,47.31,0.19,19.398054122924805,5,5,0.98
01447800,35,95.14,0.27,20.118913650512695,8,8,0.954
01447800,36,53.37,0.27,19.08534812927246,6,6,0.973
01447800,37,39.16,0.19,19.917152404785156,5,5,0.984
01447800,38,84.14,0.19,20.110164642333984,7,7,0.966
01447800,39,122.56,0.19,19.164308547973633,9,9,0.949
01447800,40,697.47,0.19,20.11663818359375,29,28,0.723
01447800,41,891.85,0.27,19.615692138671875,40,40,0.584
01447800,42,724.59,0.19,20.123472213745117,29,29,0.712
01447800,43,182.49,0.27,20.162128448486328,13,13,0.912
01447800,44,76.42,0.19,20.120038986206055,7,7,0.969
01447800,45,149.66,0.19,18.84474754333496,10,10,0.937
01447800,46,104.03,0.27,19.128103256225582,9,9,0.948
01447800,47,264.12,0.27,18.85744857788086,17,17,0.869
01447800,48,37.91,0.27,19.681718826293945,5,5,0.981
01447800,49,470.39,0.27,19.491769790649418,25,25,0.772
01447800,50,1007.24,0.27,20.12840461730957,43,44,0.541
01447800,51,54.69,0.19,18.90518569946289,6,6,0.977
01447800,52,200.71,0.27,12.6160249710083,16,16,0.878
01447800,53,159.1,0.27,20.117406845092773,12,12,0.923
01447800,54,645.12,0.19,19.726823806762695,27,28,0.74
01447800,55,393.64,0.19,20.149858474731445,19,19,0.841
01447800,56,384.51,0.27,20.114133834838867,21,21,0.816
01447800,57,504.56,0.19,20.171327590942383,23,23,0.798
01447800,58,583.62,0.19,19.87643241882324,25,25,0.765
01447800,59,362.62,0.19,20.126483917236328,18,18,0.854
01447800,60,153.18,0.19,20.14560317993164,10,10,0.938
01447800,61,690.77,0.19,20.109058380126953,28,29,0.725
01447800,62,502.33,0.27,19.95651626586914,26,26,0.76
01447800,63,597.64,0.27,20.12575340270996,29,30,0.717
