GAGE_ID,iter,dist_m,S,Tr_m2d,eq_yrs_constant,eq_yrs_seasonal,Qf_100yrs_constant
11405300,1,539.07,0.09,22.461275100708008,17,17,0.858
11405300,2,589.12,0.09,5.629263877868652,31,31,0.697
11405300,3,260.49,0.09,12.170736312866213,13,13,0.907
11405300,4,154.22,0.09,4.28266716003418,13,13,0.907
11405300,5,351.14,0.01,22.233474731445313,7,7,0.969
11405300,6,481.16,0.09,12.179131507873535,20,20,0.829
11405300,7,389.28,0.09,20.632265090942383,14,14,0.893
11405300,8,774.27,0.09,22.89346694946289,22,22,0.799
11405300,9,569.22,0.09,22.73854637145996,18,18,0.851
11405300,10,771.92,0.09,12.870375633239746,28,28,0.735
11405300,11,339.98,0.09,20.592195510864254,13,13,0.906
11405300,12,697.34,0.09,2.9648945331573486,45,45,0.525
11405300,13,25.44,0.09,23.43796157836914,3,3,0.993
11405300,14,572.57,0.09,4.719956398010254,32,33,0.679
11405300,15,131.24,0.01,0.914527952671051,10,10,0.943
11405300,16,724.26,0.09,19.060487747192383,23,23,0.794
11405300,17,603.63,0.09,14.59158706665039,22,22,0.804
11405300,18,961.28,0.09,18.66872787475586,28,29,0.727
11405300,19,26.84,0.09,18.6937313079834,4,4,0.992
11405300,20,431.7,0.09,6.185048580169678,24,24,0.785
11405300,21,737.4,0.09,9.014875411987305,30,30,0.7
11405300,22,786.53,0.01,5.402222633361816,17,17,0.859
11405300,23,189.41,0.09,1.228424310684204,23,23,0.788
11405300,24,646.51,0.09,2.7260446548461914,44,44,0.539
11405300,25,624.04,0.09,22.07025909423828,19,19,0.835
11405300,26,180.73,0.09,16.56903076171875,9,10,0.944
11405300,27,162.53,0.09,5.021263599395752,13,13,0.909
11405300,28,9.64,0.01,22.52391242980957,2,2,0.999
11405300,29,132.13,0.09,1.9280813932418823,15,15,0.881
11405300,30,55.15,0.09,16.10393714904785,5,5,0.983
11405300,31,935.02,0.09,4.286166667938232,49,49,0.478
11405300,32,563.49,0.09,5.066433906555176,31,31,0.694
