GAGE_ID,iter,dist_m,S,Tr_m2d,eq_yrs_constant,eq_yrs_seasonal,Qf_100yrs_constant
10261500,1,539.07,0.22,229.6287078857422,11,11,0.93
10261500,2,589.12,0.22,474.4032287597656,9,9,0.947
10261500,3,260.49,0.22,27.43564224243164,13,14,0.903
10261500,4,154.22,0.22,0.5582900643348694,38,37,0.612
10261500,5,351.14,0.22,1.041465401649475,Inf,Inf,0.398
10261500,6,481.16,0.22,2.356112003326416,Inf,Inf,0.442
10261500,7,389.28,0.22,430.5362854003906,7,7,0.963
10261500,8,774.27,0.22,158.7899169921875,16,16,0.88
10261500,9,569.22,0.22,294.4349060058594,10,10,0.935
10261500,10,771.92,0.22,0.4644852876663208,34,39,0.005
10261500,11,339.98,0.22,152.20669555664062,9,9,0.946
10261500,12,697.34,0.22,30.70795631408691,26,26,0.757
10261500,13,25.44,0.22,0.681860625743866,10,10,0.94
10261500,14,572.57,0.22,536.11419677734375,9,9,0.952
10261500,15,131.24,0.01,554.22564697265625,3,3,0.998
10261500,16,724.26,0.22,0.17679190635681152,Inf,Inf,0
10261500,17,603.63,0.22,1.2475171089172363,Inf,Inf,0.185
10261500,18,961.28,0.22,2.10807204246521,13,15,0.104
10261500,19,26.84,0.22,300.458740234375,3,3,0.997
10261500,20,431.7,0.22,1.2443934679031372,Inf,Inf,0.342
10261500,21,737.4,0.22,2.184775114059448,Inf,Inf,0.221
10261500,22,786.53,0.22,240.9400177001953,14,14,0.901
10261500,23,189.41,0.22,1.1328076124191284,33,32,0.662
10261500,24,646.51,0.22,0.0930396243929863,Inf,Inf,0
10261500,25,624.04,0.22,2.291182041168213,Inf,Inf,0.311
10261500,26,180.73,0.22,295.8215026855469,5,6,0.979
10261500,27,162.53,0.22,0.9113369584083556,32,32,0.676
10261500,28,9.64,0.01,27.846864700317383,2,2,0.999
10261500,29,132.13,0.22,557.63031005859375,4,4,0.989
10261500,30,55.15,0.22,355.58258056640625,3,3,0.994
10261500,31,935.02,0.22,0.2524948716163635,Inf,Inf,0
10261500,32,563.49,0.22,454.0670166015625,9,9,0.948
10261500,33,227.62,0.22,0.7314660549163818,46,46,0.513
10261500,34,47.31,0.22,1.6006231307983398,11,11,0.927
10261500,35,95.14,0.22,612.04071044921875,4,4,0.992
10261500,36,53.37,0.22,12.494643211364746,7,7,0.97
10261500,37,39.16,0.22,2.377420425415039,9,9,0.95
10261500,38,84.14,0.22,0.36430832743644714,28,28,0.732
10261500,39,122.56,0.22,320.89190673828125,4,4,0.987
10261500,40,697.47,0.22,2.165510654449463,Inf,Inf,0.245
10261500,41,891.85,0.22,0.03014618717133999,Inf,Inf,0
10261500,42,724.59,0.22,507.511474609375,10,10,0.937
10261500,43,182.49,0.22,321.7708740234375,5,5,0.98
10261500,44,76.42,0.22,503.0725402832031,3,3,0.993
10261500,45,149.66,0.22,43.321685791015625,8,8,0.955
10261500,46,104.03,0.27,418.1917724609375,4,4,0.989
10261500,47,264.12,0.22,121.6217041015625,9,9,0.953
10261500,48,37.91,0.22,518.82244873046875,3,3,0.997
10261500,49,470.39,0.22,124.56729125976562,12,12,0.918
10261500,50,1007.24,0.22,0.93733549118042,29,34,0.011
10261500,51,54.69,0.22,2.1429691314697266,11,11,0.927
10261500,52,200.71,0.22,546.93902587890625,5,5,0.983
10261500,53,159.1,0.01,1.6414932012557983,9,9,0.948
10261500,54,645.12,0.22,0.03587004542350769,Inf,Inf,0
10261500,55,393.64,0.22,530.24114990234375,7,7,0.967
10261500,56,384.51,0.22,451.7048645019531,7,7,0.965
10261500,57,504.56,0.22,1.3375935554504397,Inf,Inf,0.284
10261500,58,583.62,0.22,0.198126882314682,45,Inf,0.001
10261500,59,362.62,0.22,0.9417099356651306,Inf,Inf,0.359
10261500,60,153.18,0.22,361.38470458984375,5,5,0.984
10261500,61,690.77,0.22,217.3089904785156,13,13,0.908
10261500,62,502.33,0.22,0.1568809449672699,42,49,0.002
10261500,63,597.64,0.01,314.0640563964844,5,5,0.986
10261500,64,944.71,0.22,0.10349880158901216,Inf,Inf,0
10261500,65,135.39,0.22,463.3738708496094,4,4,0.988
10261500,66,110.46,0.22,466.0480346679687,4,4,0.99
10261500,67,512.98,0.22,2.256268262863159,Inf,Inf,0.402
10261500,68,213.42,0.22,602.8399658203125,5,5,0.983
10261500,69,193.79,0.22,0.36331239342689514,Inf,Inf,0.43
10261500,70,45.78,0.22,527.22698974609375,3,3,0.996
10261500,71,21.05,0.22,503.5517883300781,3,2,0.998
10261500,72,810.72,0.22,262.9784240722656,14,14,0.902
10261500,73,610.01,0.22,31.95204734802246,23,23,0.791
10261500,74,392.32,0.22,18.064651489257813,21,21,0.821
10261500,75,63.75,0.22,1.2570579051971436,15,15,0.889
10261500,76,114.26,0.22,1.9561567306518557,19,19,0.841
