GAGE_ID,iter,dist_m,S,Tr_m2d,eq_yrs_constant,eq_yrs_seasonal,Qf_100yrs_constant
09371520,1,539.07,0.19,5.04997444152832,40,40,0.584
09371520,2,589.12,0.19,6.454049110412598,39,39,0.597
09371520,3,260.49,0.19,2.462455987930298,30,29,0.705
09371520,4,154.22,0.19,7.740675926208496,14,14,0.899
09371520,5,351.14,0.19,4.454736232757568,30,31,0.704
09371520,6,481.16,0.19,4.7095947265625,37,38,0.613
09371520,7,389.28,0.19,4.176173686981201,33,34,0.664
09371520,8,774.27,0.19,9.62791633605957,41,41,0.569
09371520,9,569.22,0.19,6.344396591186523,38,38,0.606
09371520,10,771.92,0.19,9.252939224243164,42,42,0.563
09371520,11,339.98,0.19,0.749803900718689,Inf,Inf,0.37
09371520,12,697.34,0.19,32.11150360107422,24,24,0.779
09371520,13,25.44,0.19,22.13802719116211,4,4,0.99
09371520,14,572.57,0.19,4.010725021362305,46,46,0.514
09371520,15,131.24,0.27,6.515063285827637,15,15,0.889
09371520,16,724.26,0.19,6.43571662902832,46,46,0.515
09371520,17,603.63,0.19,6.569952487945557,39,39,0.591
09371520,18,961.28,0.19,4.5795111656188965,Inf,Inf,0.305
09371520,19,26.84,0.19,6.660375118255615,5,5,0.981
09371520,20,431.7,0.19,25.735492706298828,18,18,0.846
09371520,21,737.4,0.19,0.5190913677215576,25,29,0.02
09371520,22,786.53,0.22,4.519661903381348,Inf,Inf,0.364
09371520,23,189.41,0.19,4.077897071838379,20,20,0.831
09371520,24,646.51,0.19,3.4613261222839355,Inf,Inf,0.428
09371520,25,624.04,0.19,9.677088737487791,35,35,0.647
09371520,26,180.73,0.19,14.255942344665527,13,13,0.913
09371520,27,162.53,0.19,3.1072444915771484,20,20,0.833
09371520,28,9.64,0.01,3.5948169231414795,3,3,0.998
09371520,29,132.13,0.19,25.21568489074707,9,9,0.952
09371520,30,55.15,0.19,0.9406448006629944,14,14,0.897
09371520,31,935.02,0.19,31.951068878173828,30,30,0.706
09371520,32,563.49,0.19,6.630650997161865,37,37,0.618
09371520,33,227.62,0.19,6.5163421630859375,19,19,0.839
09371520,34,47.31,0.19,3.2972373962402344,9,9,0.953
09371520,35,95.14,0.19,6.3853631019592285,11,11,0.932
09371520,36,53.37,0.19,4.154047966003418,9,9,0.952
09371520,37,39.16,0.19,16.309717178344727,5,5,0.982
09371520,38,84.14,0.19,6.458446502685547,10,10,0.94
09371520,39,122.56,0.19,6.677723407745361,12,12,0.914
09371520,40,697.47,0.19,23.186508178710938,27,27,0.741
09371520,41,891.85,0.27,6.362605094909668,Inf,Inf,0.336
09371520,42,724.59,0.19,4.375222682952881,Inf,Inf,0.429
09371520,43,182.49,0.19,6.450308322906494,16,17,0.87
09371520,44,76.42,0.19,6.372767448425293,9,9,0.945
09371520,45,149.66,0.19,4.19694185256958,17,17,0.868
09371520,46,104.03,0.01,6.271246910095215,5,5,0.983
09371520,47,264.12,0.19,0.36302706599235535,Inf,Inf,0.317
09371520,48,37.91,0.22,8.185221672058105,6,6,0.974
09371520,49,470.39,0.19,0.234254390001297,23,26,0.027
09371520,50,1007.24,0.19,4.403667449951172,Inf,Inf,0.273
09371520,51,54.69,0.19,3.354149341583252,9,9,0.946
09371520,52,200.71,0.19,3.887993812561035,21,21,0.816
09371520,53,159.1,0.27,6.3439812660217285,17,17,0.864
09371520,54,645.12,0.19,6.073169708251953,43,43,0.55
09371520,55,393.64,0.19,9.524685859680176,25,24,0.771
09371520,56,384.51,0.19,1.258316993713379,Inf,Inf,0.434
09371520,57,504.56,0.19,6.096968650817871,35,35,0.641
09371520,58,583.62,0.19,6.458189487457275,39,38,0.6
09371520,59,362.62,0.19,6.76328706741333,26,27,0.75
09371520,60,153.18,0.19,4.463253974914551,17,17,0.869
09371520,61,690.77,0.19,22.304838180541992,27,28,0.739
09371520,62,502.33,0.27,6.477778911590576,39,39,0.591
09371520,63,597.64,0.01,3.378464698791504,17,17,0.865
09371520,64,944.71,0.19,4.414832592010498,Inf,Inf,0.305
