GAGE_ID,iter,dist_m,S,Tr_m2d,eq_yrs_constant,eq_yrs_seasonal,Qf_100yrs_constant
11274538,1,539.07,0.22,2.96547269821167,Inf,Inf,0.442
11274538,2,589.12,0.22,850.5703125,8,8,0.96
11274538,3,260.49,0.22,11.70568561553955,18,18,0.852
11274538,4,154.22,0.22,0.25427135825157166,Inf,Inf,0.453
11274538,5,351.14,0.22,9.630902290344238,24,24,0.781
11274538,6,481.16,0.22,0.09604284167289734,Inf,Inf,0
11274538,7,389.28,0.22,16.61838150024414,21,21,0.815
11274538,8,774.27,0.22,3.559252977371216,Inf,Inf,0.314
11274538,9,569.22,0.22,0.32906869053840637,27,31,0.015
11274538,10,771.92,0.22,0.3960006833076477,40,46,0.003
11274538,11,339.98,0.22,1.0400443077087402,Inf,Inf,0.413
11274538,12,697.34,0.22,0.5581417679786682,24,28,0.022
11274538,13,25.44,0.22,576.81939697265625,3,3,0.998
11274538,14,572.57,0.22,3.1692728996276855,Inf,Inf,0.43
11274538,15,131.24,0.19,4.126884937286377,15,15,0.883
11274538,16,724.26,0.22,9.379206657409668,42,42,0.562
11274538,17,603.63,0.22,1342.8690185546875,7,7,0.968
11274538,18,961.28,0.22,0.08598626405000687,Inf,Inf,0
11274538,19,26.84,0.22,1.4939188957214355,8,8,0.957
11274538,20,431.7,0.22,1.4510085582733154,Inf,Inf,0.379
11274538,21,737.4,0.22,0.10629762709140778,Inf,Inf,0
11274538,22,786.53,0.22,7.540554523468018,49,49,0.482
11274538,23,189.41,0.22,0.05777562037110329,18,20,0.053
11274538,24,646.51,0.22,1.9212077856063845,Inf,Inf,0.252
11274538,25,624.04,0.22,0.05634903162717819,Inf,Inf,0
11274538,26,180.73,0.22,9.450857162475586,15,15,0.885
11274538,27,162.53,0.22,1.9975682497024536,24,24,0.778
11274538,28,9.64,0.19,11.506203651428224,3,3,0.995
11274538,29,132.13,0.22,1.556078553199768,23,23,0.795
11274538,30,55.15,0.22,0.10541794449090958,32,32,0.677
11274538,31,935.02,0.22,4.124934673309326,Inf,Inf,0.258
11274538,32,563.49,0.22,0.03482319787144661,Inf,Inf,0
11274538,33,227.62,0.22,0.16447597742080688,Inf,Inf,0.168
11274538,34,47.31,0.22,0.20293346047401428,23,23,0.797
11274538,35,95.14,0.22,2.1158738136291504,16,16,0.872
11274538,36,53.37,0.22,2.0925676822662354,11,11,0.928
11274538,37,39.16,0.22,0.3924030065536499,16,16,0.878
11274538,38,84.14,0.22,1.0091240406036377,19,19,0.837
11274538,39,122.56,0.22,0.32766473293304443,38,39,0.599
11274538,40,697.47,0.22,0.04258697479963302,Inf,Inf,0
11274538,41,891.85,0.01,0.09680484235286713,Inf,13,0.134
11274538,42,724.59,0.22,1351.3609619140625,8,8,0.961
11274538,43,182.49,0.22,1040.9376220703125,4,4,0.989
11274538,44,76.42,0.22,1.2228450775146484,17,17,0.865
11274538,45,149.66,0.22,3.422551155090332,19,19,0.843
11274538,46,104.03,0.19,13.057804107666016,9,9,0.948
11274538,47,264.12,0.22,3.851379632949829,27,27,0.741
11274538,48,37.91,0.22,2.626349687576294,8,8,0.954
11274538,49,470.39,0.22,0.0859881192445755,Inf,Inf,0
11274538,50,1007.24,0.22,0.19642750918865204,Inf,Inf,0
11274538,51,54.69,0.22,4.127747058868408,9,9,0.947
11274538,52,200.71,0.22,4.15106725692749,22,22,0.809
11274538,53,159.1,0.19,0.04983004555106163,13,15,0.104
