GAGE_ID,iter,dist_m,S,Tr_m2d,eq_yrs_constant,eq_yrs_seasonal,Qf_100yrs_constant
14091500,1,539.07,0.09,1.5975357294082642,47,47,0.503
14091500,2,589.12,0.15,55.509490966796875,16,16,0.873
14091500,3,260.49,0.09,50.06901168823242,8,9,0.954
14091500,4,154.22,0.09,419.7980041503906,4,4,0.991
14091500,5,351.14,0.19,31.37856674194336,15,15,0.886
14091500,6,481.16,0.09,6.83174991607666,25,24,0.773
14091500,7,389.28,0.09,413.0422668457031,6,6,0.976
14091500,8,774.27,0.09,381.29107666015625,9,9,0.95
14091500,9,569.22,0.09,36.33782577514648,15,15,0.882
14091500,10,771.92,0.09,58.221134185791016,16,16,0.874
14091500,11,339.98,0.09,10.712881088256836,16,16,0.87
14091500,12,697.34,0.09,418.1470031738281,8,8,0.957
14091500,13,25.44,0.09,67.187255859375,3,3,0.996
14091500,14,572.57,0.09,418.3429870605469,7,7,0.965
14091500,15,131.24,0.28,65.99031829833984,7,7,0.964
14091500,16,724.26,0.09,30.11768913269043,19,19,0.836
14091500,17,603.63,0.09,58.21359634399414,14,14,0.901
14091500,18,961.28,0.09,0.3892550766468048,27,30,0.016
14091500,19,26.84,0.09,58.46076583862305,3,3,0.996
14091500,20,431.7,0.09,47.42620086669922,12,12,0.922
14091500,21,737.4,0.09,58.44886016845703,16,16,0.88
14091500,22,786.53,0.28,38.36484146118164,28,29,0.725
14091500,23,189.41,0.09,0.9971018433570862,25,25,0.766
14091500,24,646.51,0.09,23.48459815979004,19,20,0.834
14091500,25,624.04,0.09,57.30239486694336,14,14,0.897
14091500,26,180.73,0.09,11.758673667907717,11,11,0.934
14091500,27,162.53,0.09,5.915046691894531,12,12,0.916
14091500,28,9.64,0.22,0.2703920602798462,7,7,0.964
14091500,29,132.13,0.09,54.5334587097168,6,6,0.978
14091500,30,55.15,0.15,41.12996292114258,5,5,0.986
14091500,31,935.02,0.09,419.7979736328125,10,10,0.943
14091500,32,563.49,0.09,62.3573112487793,13,13,0.911
14091500,33,227.62,0.09,43.916019439697266,8,8,0.957
14091500,34,47.31,0.09,56.67236328125,4,4,0.992
14091500,35,95.14,0.15,41.55051040649414,6,6,0.976
14091500,36,53.37,0.09,175.60015869140625,3,3,0.995
14091500,37,39.16,0.09,3.875742912292481,6,6,0.975
14091500,38,84.14,0.09,57.281951904296875,5,5,0.986
14091500,39,122.56,0.09,43.38591766357422,6,6,0.977
14091500,40,697.47,0.09,419.7042236328125,8,8,0.957
14091500,41,891.85,0.28,419.7233581542969,13,13,0.904
14091500,42,724.59,0.09,14.063589096069336,25,26,0.762
14091500,43,182.49,0.09,23.398849487304688,9,9,0.953
14091500,44,76.42,0.09,75.32738494873047,4,4,0.989
