GAGE_ID,iter,dist_m,S,Tr_m2d,eq_yrs_constant,eq_yrs_seasonal,Qf_100yrs_constant
01480617,1,539.07,0.01,43.69635772705078,7,7,0.966
01480617,2,589.12,0.01,42.98286437988281,8,8,0.962
01480617,3,260.49,0.01,44.22237014770508,5,5,0.984
01480617,4,154.22,0.01,31.18638610839844,4,4,0.988
01480617,5,351.14,0.01,44.00986099243164,6,6,0.978
01480617,6,481.16,0.01,35.57516098022461,7,7,0.966
01480617,7,389.28,0.01,44.0615234375,6,6,0.976
01480617,8,774.27,0.01,31.683618545532227,10,10,0.943
01480617,9,569.22,0.01,30.104198455810547,8,8,0.957
01480617,10,771.92,0.01,42.4480094909668,9,9,0.951
01480617,11,339.98,0.01,50.89002227783203,5,5,0.98
01480617,12,697.34,0.01,32.04967498779297,9,9,0.949
01480617,13,25.44,0.01,41.45867919921875,3,2,0.998
01480617,14,572.57,0.01,40.79928970336914,8,8,0.963
01480617,15,131.24,0.01,31.164226531982425,4,4,0.99
01480617,16,724.26,0.01,35.31651306152344,9,9,0.949
01480617,17,603.63,0.01,29.14587020874023,9,9,0.953
01480617,18,961.28,0.01,44.09201431274414,10,10,0.94
01480617,19,26.84,0.01,44.09646224975586,3,2,0.998
01480617,20,431.7,0.01,44.08735656738281,6,6,0.973
01480617,21,737.4,0.01,44.137596130371094,8,9,0.954
01480617,22,786.53,0.01,44.0983772277832,9,9,0.951
01480617,23,189.41,0.01,21.821195602416992,5,5,0.983
01480617,24,646.51,0.01,28.592844009399418,9,9,0.95
01480617,25,624.04,0.01,56.44880294799805,7,7,0.965
01480617,26,180.73,0.01,41.97066116333008,4,4,0.988
01480617,27,162.53,0.01,43.450294494628906,4,4,0.99
01480617,28,9.64,0.06,30.01988220214844,3,2,0.998
01480617,29,132.13,0.01,31.267290115356445,4,4,0.99
01480617,30,55.15,0.01,40.53261184692383,3,3,0.996
01480617,31,935.02,0.01,40.53486633300781,10,10,0.939
01480617,32,563.49,0.01,42.4748420715332,7,7,0.964
01480617,33,227.62,0.01,44.09735107421875,5,5,0.986
01480617,34,47.31,0.01,39.468257904052734,3,3,0.997
01480617,35,95.14,0.01,29.09114646911621,4,4,0.993
01480617,36,53.37,0.01,36.226905822753906,3,3,0.996
01480617,37,39.16,0.01,26.28256607055664,3,3,0.997
01480617,38,84.14,0.01,41.155948638916016,3,3,0.995
01480617,39,122.56,0.01,19.973066329956055,4,4,0.989
01480617,40,697.47,0.01,43.21845626831055,8,8,0.956
01480617,41,891.85,0.01,56.23643112182617,9,9,0.95
01480617,42,724.59,0.01,30.390363693237305,9,9,0.945
01480617,43,182.49,0.01,27.55225944519043,5,5,0.985
