GAGE_ID,iter,dist_m,S,Tr_m2d,eq_yrs_constant,eq_yrs_seasonal,Qf_100yrs_constant
04125550,1,539.07,0.19,114.9773941040039,13,13,0.909
04125550,2,589.12,0.12,55.349666595458984,15,15,0.886
04125550,3,260.49,0.19,279.7902526855469,6,6,0.972
04125550,4,154.22,0.12,17.022544860839844,9,9,0.946
04125550,5,351.14,0.12,271.95697021484375,7,7,0.969
04125550,6,481.16,0.19,145.16705322265625,11,11,0.927
04125550,7,389.28,0.19,215.75454711914065,9,9,0.952
04125550,8,774.27,0.19,151.40025329589844,15,15,0.886
04125550,9,569.22,0.19,277.46343994140625,10,10,0.938
04125550,10,771.92,0.19,260.7401428222656,13,13,0.913
04125550,11,339.98,0.19,20.93553352355957,17,17,0.865
04125550,12,697.34,0.19,253.9135284423828,12,12,0.92
04125550,13,25.44,0.19,215.1159210205078,3,3,0.997
04125550,14,572.57,0.19,46.72007369995117,18,18,0.848
04125550,15,131.24,0.06,87.12541198730469,5,5,0.986
04125550,16,724.26,0.19,370.3620300292969,11,11,0.932
04125550,17,603.63,0.19,65.93030548095703,17,17,0.865
04125550,18,961.28,0.12,113.33470153808594,16,16,0.87
04125550,19,26.84,0.19,278.2367248535156,3,3,0.997
04125550,20,431.7,0.19,279.91802978515625,9,9,0.953
04125550,21,737.4,0.19,503.6510620117187,10,10,0.94
04125550,22,786.53,0.12,156.18460083007812,13,13,0.909
04125550,23,189.41,0.12,259.22735595703125,5,5,0.983
04125550,24,646.51,0.19,279.808349609375,11,11,0.93
04125550,25,624.04,0.19,199.07997131347656,12,12,0.92
04125550,26,180.73,0.19,39.11790084838867,9,9,0.947
04125550,27,162.53,0.19,175.06246948242187,6,6,0.978
04125550,28,9.64,0.06,312.35516357421875,2,2,0.999
04125550,29,132.13,0.19,140.58551025390625,5,5,0.98
04125550,30,55.15,0.12,581.5904541015625,3,3,0.997
04125550,31,935.02,0.19,255.65574645996097,14,14,0.894
04125550,32,563.49,0.19,98.1353759765625,14,14,0.897
04125550,33,227.62,0.19,165.18020629882813,7,7,0.968
04125550,34,47.31,0.19,249.34600830078125,3,3,0.995
04125550,35,95.14,0.12,278.50970458984375,4,4,0.992
04125550,36,53.37,0.12,258.96282958984375,3,3,0.995
04125550,37,39.16,0.19,175.52845764160156,3,3,0.995
04125550,38,84.14,0.19,84.5620346069336,5,5,0.983
04125550,39,122.56,0.19,175.71766662597656,5,5,0.983
04125550,40,697.47,0.19,157.9084014892578,14,14,0.899
04125550,41,891.85,0.06,587.93426513671875,8,8,0.962
04125550,42,724.59,0.12,44.354000091552734,19,19,0.844
04125550,43,182.49,0.12,275.6298828125,5,5,0.984
04125550,44,76.42,0.19,220.1444396972656,4,4,0.991
04125550,45,149.66,0.19,279.17242431640625,5,5,0.984
04125550,46,104.03,0.06,175.27293395996094,4,4,0.992
04125550,47,264.12,0.12,17.825302124023438,13,13,0.91
04125550,48,37.91,0.12,257.5519104003906,3,3,0.997
04125550,49,470.39,0.12,195.88470458984375,9,9,0.951
04125550,50,1007.24,0.12,118.50944519042967,17,17,0.867
04125550,51,54.69,0.19,58.70437240600586,4,4,0.987
04125550,52,200.71,0.12,280.1714172363281,5,5,0.983
04125550,53,159.1,0.06,170.97128295898437,4,4,0.988
04125550,54,645.12,0.19,80.20954132080078,16,17,0.869
04125550,55,393.64,0.19,373.4385986328125,7,8,0.963
04125550,56,384.51,0.12,77.97816467285156,10,10,0.937
04125550,57,504.56,0.19,82.88626861572266,14,14,0.899
04125550,58,583.62,0.19,132.39730834960937,13,13,0.908
04125550,59,362.62,0.19,533.74176025390625,6,6,0.971
04125550,60,153.18,0.19,222.73159790039065,5,5,0.981
04125550,61,690.77,0.12,238.4292449951172,10,10,0.935
04125550,62,502.33,0.06,266.49853515625,7,7,0.969
04125550,63,597.64,0.06,260.62115478515625,8,8,0.962
04125550,64,944.71,0.19,514.252685546875,11,12,0.924
04125550,65,135.39,0.12,51.82289123535156,6,6,0.973
04125550,66,110.46,0.19,443.0134887695313,4,4,0.99
04125550,67,512.98,0.12,279.9529113769531,8,8,0.956
04125550,68,213.42,0.19,237.9979553222656,6,6,0.975
