GAGE_ID,iter,dist_m,S,Tr_m2d,eq_yrs_constant,eq_yrs_seasonal,Qf_100yrs_constant
11470500,1,539.07,0.01,2.526418447494507,17,17,0.859
11470500,2,589.12,0.19,7.591031074523926,36,36,0.626
11470500,3,260.49,0.01,5.275457382202148,9,9,0.953
11470500,4,154.22,0.01,8.481658935546875,6,6,0.978
11470500,5,351.14,0.19,10.463472366333008,22,22,0.804
11470500,6,481.16,0.01,3.8159291744232178,14,14,0.897
11470500,7,389.28,0.01,4.541037082672119,12,12,0.924
11470500,8,774.27,0.01,5.490463733673096,17,17,0.863
11470500,9,569.22,0.01,6.050325870513916,13,13,0.904
11470500,10,771.92,0.01,5.280629634857178,17,17,0.86
11470500,11,339.98,0.01,10.394804954528809,8,8,0.956
11470500,12,697.34,0.01,8.250328063964844,14,14,0.899
11470500,13,25.44,0.01,9.850637435913086,3,3,0.997
11470500,14,572.57,0.01,8.452264785766602,12,12,0.918
11470500,15,131.24,0.19,4.6181159019470215,15,15,0.889
11470500,16,724.26,0.01,0.8903942704200745,31,32,0.688
11470500,17,603.63,0.01,7.296131134033203,13,13,0.907
11470500,18,961.28,0.01,2.687962293624878,26,26,0.759
11470500,19,26.84,0.01,4.746631145477295,3,3,0.995
11470500,20,431.7,0.01,8.452722549438477,10,10,0.938
11470500,21,737.4,0.01,2.5842881202697754,21,22,0.81
11470500,22,786.53,0.19,4.300031661987305,Inf,Inf,0.387
11470500,23,189.41,0.01,10.363333702087402,6,6,0.975
11470500,24,646.51,0.01,1.612907648086548,23,23,0.79
11470500,25,624.04,0.01,8.218274116516113,13,13,0.909
11470500,26,180.73,0.01,2.598325252532959,9,9,0.953
11470500,27,162.53,0.01,5.796566963195801,6,6,0.972
11470500,28,9.64,0.19,8.440509796142578,3,3,0.994
11470500,29,132.13,0.01,8.03833293914795,5,5,0.981
11470500,30,55.15,0.19,9.904950141906738,7,7,0.968
11470500,31,935.02,0.01,6.849074840545654,18,18,0.852
11470500,32,563.49,0.01,5.745296001434326,14,14,0.902
11470500,33,227.62,0.01,6.739619255065918,7,7,0.963
11470500,34,47.31,0.01,4.610227108001709,4,4,0.991
11470500,35,95.14,0.19,5.252136707305908,11,11,0.925
11470500,36,53.37,0.19,1.1540074348449707,13,13,0.91
11470500,37,39.16,0.01,10.497174263000488,3,3,0.995
11470500,38,84.14,0.01,5.7108025550842285,5,5,0.985
11470500,39,122.56,0.01,109.56464385986328,3,3,0.995
11470500,40,697.47,0.01,2.2265121936798096,22,22,0.807
11470500,41,891.85,0.19,7.394377708435059,Inf,Inf,0.454
11470500,42,724.59,0.01,8.485116958618164,14,14,0.896
11470500,43,182.49,0.01,4.976651191711426,7,7,0.966
11470500,44,76.42,0.01,2.771641492843628,5,5,0.981
11470500,45,149.66,0.01,10.410470008850098,5,5,0.981
11470500,46,104.03,0.22,10.475159645080566,10,10,0.937
11470500,47,264.12,0.19,10.51445484161377,18,18,0.853
11470500,48,37.91,0.19,1.711620211601257,9,9,0.947
11470500,49,470.39,0.19,10.392535209655762,27,28,0.739
11470500,50,1007.24,0.19,9.5630464553833,Inf,Inf,0.457
11470500,51,54.69,0.01,1.613274335861206,5,5,0.982
11470500,52,200.71,0.19,7.700466632843018,16,17,0.869
11470500,53,159.1,0.19,0.49079570174217224,38,38,0.604
11470500,54,645.12,0.01,5.671421051025391,15,15,0.887
11470500,55,393.64,0.01,7.749764919281006,10,10,0.941
11470500,56,384.51,0.19,2.4530820846557617,40,40,0.575
11470500,57,504.56,0.01,6.58969259262085,12,12,0.918
11470500,58,583.62,0.01,0.3780415654182434,37,38,0.619
11470500,59,362.62,0.01,1.319021701812744,17,17,0.869
11470500,60,153.18,0.01,10.402814865112305,5,5,0.98
11470500,61,690.77,0.01,1.240742802619934,27,27,0.745
11470500,62,502.33,0.19,2.1599133014678955,Inf,Inf,0.435
11470500,63,597.64,0.19,9.32802391052246,34,33,0.655
11470500,64,944.71,0.01,7.541891574859619,18,18,0.857
11470500,65,135.39,0.01,244.9105987548828,3,3,0.996
11470500,66,110.46,0.01,7.497915744781494,5,5,0.983
11470500,67,512.98,0.01,8.539728164672852,11,11,0.927
11470500,68,213.42,0.01,9.263659477233888,7,7,0.971
11470500,69,193.79,0.01,10.427517890930176,6,6,0.975
11470500,70,45.78,0.01,8.191305160522461,3,3,0.993
11470500,71,21.05,0.01,8.179633140563965,3,3,0.997
11470500,72,810.72,0.19,1.2747548818588257,Inf,15,0.101
11470500,73,610.01,0.01,2.76514196395874,18,18,0.848
11470500,74,392.32,0.01,8.435620307922363,10,10,0.944
11470500,75,63.75,0.19,1.403760313987732,14,14,0.902
11470500,76,114.26,0.01,2.755503416061402,7,7,0.971
11470500,77,195.66,0.19,8.447317123413086,16,16,0.878
11470500,78,840.91,0.01,7.274274826049805,16,16,0.87
11470500,79,105.21,0.19,2.740769386291504,15,15,0.885
11470500,80,211.82,0.01,3.9854815006256104,8,8,0.956
11470500,81,171.04,0.19,7.942619323730469,15,15,0.89
11470500,82,743.28,0.01,4.119220733642578,18,18,0.848
11470500,83,98.63,0.01,7.767255306243896,5,5,0.985
11470500,84,203.64,0.01,4.950963973999023,8,8,0.962
11470500,85,35.39,0.19,6.885669708251953,6,6,0.975
11470500,86,384.83,0.01,1.726905107498169,16,16,0.878
11470500,87,17.01,0.01,6.71897554397583,3,3,0.997
11470500,88,7.99,0.19,3.99420428276062,4,4,0.993
11470500,89,180.11,0.01,5.181280136108398,7,7,0.967
11470500,90,422.11,0.19,4.087979316711426,36,36,0.634
11470500,91,622.51,0.19,7.748403072357178,38,37,0.61
11470500,92,557.57,0.01,10.158955574035645,11,11,0.927
11470500,93,212.48,0.01,1.0241875648498535,13,13,0.912
11470500,94,252.15,0.01,7.160633563995361,8,8,0.961
11470500,95,324.86,0.19,10.42616844177246,21,21,0.818
11470500,96,288.6,0.01,8.415061950683594,8,8,0.958
11470500,97,706.36,0.01,6.615428924560547,15,15,0.886
11470500,98,286.35,0.01,8.44951343536377,8,8,0.959
11470500,99,424.83,0.01,2.620516538619995,15,15,0.891
11470500,100,102.78,0.19,5.634491443634033,12,12,0.921
